"F","Company Name","Seniority Level","Company Location","Industry","Employment Type","Job Functions","position"
"Fortinet Specialist","Euronet","Entry level","Skawina, PL","Internet","Full-time","Management Manufacturing","Magazynier w Centrum Logistycznym, Skawina k. Krakowa",
"Fortinet Specialist","DPM Doradztwo Personalne","Associate","Zabierzów, PL","Electrical & Electronic Manufacturing Machinery Mechanical Or Industrial Engineering","Full-time","Marketing Sales","Brand Manager / Junior Brand Manager",
"Fortinet Specialist","Luxoft","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services Computer Software Telecommunications","Full-time","Information Technology Engineering Finance","IT Support Analyst",
"Fortinet Specialist","Randstad Polska","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services Computer Software Computer Networking","Full-time","Business Development Information Technology Other","Linux System Developer",
"Fortinet Specialist","ETEC","Entry level","Olkusz, PL","Import & Export","Full-time","Engineering Information Technology","Zatrudnimy elektryka. - Olkusz",
"Fortinet Specialist","Smart-HR Doradztwo Personalne, Kadry i Płace, Szkolenia","Entry level","Skawina, PL","Staffing & Recruiting","Full-time","Other","Pracownik Utrzymania Ruchu",
"Fortinet Specialist","Smart-HR Doradztwo Personalne, Kadry i Płace, Szkolenia","Entry level","Skawina, PL","Staffing & Recruiting","Full-time","Other","Pracownik Utrzymania Ruchu",
"Fortinet Specialist","Ośrodek h2o","Associate","Tarnów, PL","Hospitality","Full-time","Education Training","Wykładowca/trener - Trener personalny",
"Fortinet Specialist","Ośrodek h2o","Associate","Tarnów, PL","Hospitality","Full-time","Education Training","Wykładowca/trener - Trener personalny",
"Fortinet Specialist","Sklep","Entry level","Jawornik, PL","Arts & Crafts","Full-time","Sales Business Development","Sprzedawca",
"Fortinet Specialist","Sklep","Entry level","Jawornik, PL","Arts & Crafts","Full-time","Sales Business Development","Sprzedawca",
"Fortinet Specialist","Spring Professional","Associate","Jawczyce, PL","Consumer Goods Chemicals Electrical & Electronic Manufacturing","Full-time","Sales Customer Service","Export Key Account Specialist (Russian & English)",
"Fortinet Specialist","Spring Professional","Associate","Jawczyce, PL","Consumer Goods Chemicals Electrical & Electronic Manufacturing","Full-time","Sales Customer Service","Export Key Account Specialist (Russian & English)",
"Fortinet Specialist","ROLNICZA SPOLDZIELNIA PRODUKCYJNA","Associate","Zakliczyn, PL","Farming","Full-time","Other","dam pracę",
"Fortinet Specialist","Telestrada S.A.","Entry level","Olkusz, PL","Telecommunications","Full-time","Sales Business Development","Przedstawiciel Handlowy /Menadżer Klienta Biznesowego",
"Fortinet Specialist","Telestrada S.A.","Entry level","Olkusz, PL","Telecommunications","Full-time","Sales Business Development","Przedstawiciel Handlowy /Menadżer Klienta Biznesowego",
"Fortinet Specialist","Transition Technologies S.A.","Entry level","Tarnów, PL","Information Technology & Services Computer Software Computer Games","Full-time","Engineering Information Technology","Inżynier Projektowy ( Automatyk)",
"Fortinet Specialist","Apex Systems","Mid-Senior level","Krakow Metropolitan Area","Computer Software Information Technology & Services","Full-time","Information Technology","Incident Manager CloudOps",
"Fortinet Specialist","Apex Systems","Mid-Senior level","Krakow Metropolitan Area","Computer Software Information Technology & Services","Full-time","Information Technology","Incident Manager CloudOps",
"Fortinet Specialist","ANNA","Mid-Senior level","Miechów, PL","Machinery Staffing & Recruiting Human Resources","Full-time","Other","Rozkładanie dostawy 17 zł/brutto/godz",
"Fortinet Specialist","Przedsiębiorstwo Budowlane DREWLAND","Entry level","Tarnów, PL","Machinery Staffing & Recruiting Human Resources","Full-time","Engineering Information Technology","Kierownik kontraktu/ inżynier budowy (O)",
"Fortinet Specialist","Przedsiębiorstwo Budowlane DREWLAND","Entry level","Tarnów, PL","Machinery Staffing & Recruiting Human Resources","Full-time","Engineering Information Technology","Kierownik kontraktu/ inżynier budowy (O)",
"Fortinet Specialist","Grupa Wanicki","Associate","Trzciana, PL","Automotive","Full-time","Finance Sales","Specjalista ds. sprzedaży części",
"Fortinet Specialist","Grupa Wanicki","Associate","Trzciana, PL","Automotive","Full-time","Finance Sales","Specjalista ds. sprzedaży części",
"Fortinet Specialist","Hays","Mid-Senior level","Krakow Metropolitan Area","Consumer Goods Food & Beverages","Full-time","Accounting/Auditing","Control & Reporting Senior Coordinator (US GAAP) with Serbian",
"Fortinet Specialist","ALTEN","Mid-Senior level","Krakow Metropolitan Area","Financial Services Banking","Full-time","Consulting Information Technology Finance","Devops Engineer (Python, Java, Api integr., AWS)-REMOTE",
"Fortinet Specialist","Gibbs Hybrid","Mid-Senior level","Krakow Metropolitan Area","Marketing & Advertising","Contract","Marketing","Sales Operations Support Specialist",
"Fortinet Specialist","Stokrotka Sp. z o.o.","Entry level","Olkusz, PL","Supermarkets","Full-time","Sales Business Development","Pracownik Sklepu",
"Fortinet Specialist","BUS","Entry level","Skawina, PL","Information Technology & Services","Full-time","Management Manufacturing","Kierowca kat. D Przewóz Pracowników",
"Fortinet Specialist","Apteka Pharmacy","Entry level","Miechów, PL","Pharmaceuticals","Full-time","Other","Apteka w Miechowie zatrudni technika farmaceutycznego",
"Fortinet Specialist","Herbapol Lublin S.A.","Entry level","Olkusz, PL","Food & Beverages","Full-time","Sales Business Development","Przedstawiciel Handlowy - małopolskie",
"Fortinet Specialist","Herbapol Lublin S.A.","Entry level","Olkusz, PL","Food & Beverages","Full-time","Sales Business Development","Przedstawiciel Handlowy - małopolskie",
"Fortinet Specialist","Herbapol Lublin S.A.","Entry level","Olkusz, PL","Food & Beverages","Full-time","Sales Business Development","Przedstawiciel Handlowy - małopolskie",
"Fortinet Specialist","DPK System Consulting","Associate","Wieliczka, PL","Information Technology & Services","Full-time","Finance Sales","Specjalista ds. sprzedaży",
"Fortinet Specialist","DPK System Consulting","Associate","Wieliczka, PL","Information Technology & Services","Full-time","Finance Sales","Specjalista ds. sprzedaży",
"Fortinet Specialist","Elhurt - EMS & Electronic Components","Entry level","Osieczany, PL","Electrical & Electronic Manufacturing","Full-time","Engineering Information Technology","Operator maszyn do produkcji kabli",
"Fortinet Specialist","Green Cell","Mid-Senior level","Skawina, PL","Electrical & Electronic Manufacturing Consumer Electronics Consumer Goods","Full-time","Information Technology","Starszy inżynier wsparcia R&D (elektronik)",
"Fortinet Specialist","Wielka Wieś Commune Office","Mid-Senior level","Szyce, PL","Government Administration","Full-time","Other","Odwołanie Kwalifikacji Wojskowej",
"Fortinet Specialist","Wielka Wieś Commune Office","Mid-Senior level","Szyce, PL","Government Administration","Full-time","Other","Odwołanie Kwalifikacji Wojskowej",
"Fortinet Specialist","Poke","Entry level","Tokarnia, PL","Marketing & Advertising","Full-time","Sales Business Development","Pracownik sklepu Delikatesy Centrum",
"Fortinet Specialist","Poke","Entry level","Tokarnia, PL","Marketing & Advertising","Full-time","Sales Business Development","Pracownik sklepu Delikatesy Centrum",
"Fortinet Specialist","Specjał Sa","Entry level","Kokotów, PL","Marketing & Advertising","Full-time","Management Manufacturing","Operator wózka widłowego",
"Fortinet Specialist","Company Location","Entry level","Kokotów, PL","Design Staffing & Recruiting Human Resources","Full-time","Management Manufacturing","Sprzątacz",
"Fortinet Specialist","Centrum Medyczne Da Vinci","Entry level","Wieliczka, PL","Medical Practice","Full-time","Health Care Provider","Praca Terapeuta Zajęciowy w Wieliczce",
"Fortinet Specialist","Miejsko-Gminne Centrum Kultury w Choroszczy","Entry level","Jurczyce, PL","Online Media","Full-time","Health Care Provider","Fizjoterapeuta",
"Fortinet Specialist","Miejsko-Gminne Centrum Kultury w Choroszczy","Entry level","Jurczyce, PL","Online Media","Full-time","Health Care Provider","Fizjoterapeuta",
"Fortinet Specialist","NBC IT Outsourcing","Entry level","Zabierzów, PL","Information Technology & Services Computer Software Internet","Full-time","Information Technology","Cloud Infrastructure Engineer",
"Fortinet Specialist","EPAM Systems","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Engineering Information Technology","DevOps Engineer",
"Fortinet Specialist","Media Expert","Associate","Andrychów, PL","Health, Wellness & Fitness","Full-time","Customer Service Information Technology","Doradca Klienta",
"Fortinet Specialist","Luxoft","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Information Technology","Firewall Compliance Specialist",
"Fortinet Specialist","TE Connectivity","Mid-Senior level","Krakow Metropolitan Area","Automotive Electrical & Electronic Manufacturing","Full-time","Accounting/Auditing Finance","Order To Cash Junior Accountant with German",
"Fortinet Specialist","Amway Europe","Mid-Senior level","Kraków i okolice","Consumer Goods","Full-time","Information Technology Engineering","Tech Lead/ IT Solution Architect",
"Fortinet Specialist","NBC IT Outsourcing","Entry level","Zabierzów, PL","Information Technology & Services Computer Software Internet","Full-time","Information Technology","Cloud Infrastructure Engineer",
"Fortinet Specialist","EPAM Systems","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Engineering Information Technology","DevOps Engineer",
"Fortinet Specialist","Media Expert","Associate","Andrychów, PL","Health, Wellness & Fitness","Full-time","Customer Service Information Technology","Doradca Klienta",
"Fortinet Specialist","Empiric","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Contract","Information Technology","Salesforce Architect",
"Fortinet Specialist","Trenkwalder Polska","Entry level","Bukowno, PL","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Management Manufacturing","Monter / Monterka (praca od zaraz)",
"Fortinet Specialist","Eurogrant GmbH","Mid-Senior level","Tarnów, PL","Management Consulting","Full-time","Other","Regionalny manager sprzedaży",
"Fortinet Specialist","WEBimpuls Sp. z o.o.","Mid-Senior level","Tarnów, PL","Management Consulting","Full-time","Other","Social Mediów",
"Fortinet Specialist","Agencja Zatrudnienia Sidrom Sp. z o.o.","Associate","Skawina, PL","Staffing & Recruiting","Full-time","Information Technology","Team Leader na Produkcji",
"Fortinet Specialist","Agencja Zatrudnienia Sidrom Sp. z o.o.","Associate","Skawina, PL","Staffing & Recruiting","Full-time","Information Technology","Team Leader na Produkcji",
"Fortinet Specialist","FEV Europe GmbH","Entry level","Liszki, PL","Electrical & Electronic Manufacturing Automotive Mechanical Or Industrial Engineering","Part-time","Management Manufacturing","Junior Design Engineer",
"Fortinet Specialist","Moskit CRM","Entry level","Bochnia, PL","Computer Software","Full-time","Management Manufacturing","Monter / Montażysta / Pracownik produkcji - Bochnia",
"Fortinet Specialist","Wipro Limited","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services Computer Software","Full-time","Information Technology","Frontend Developer",
"Fortinet Specialist","Work Service S.A.","Entry level","Krzeszowice, PL","Electrical & Electronic Manufacturing Marketing & Advertising Financial Services","Full-time","Management Manufacturing","Pracownik Produkcji",
"Fortinet Specialist","Work Service S.A.","Entry level","Krzeszowice, PL","Electrical & Electronic Manufacturing Marketing & Advertising Financial Services","Full-time","Management Manufacturing","Pracownik Produkcji",
"Fortinet Specialist","DOM POMOCY SPOLECZNEJ","Associate","Tarnów, PL","Machinery Mechanical Or Industrial Engineering Hospitality","Full-time","Health Care Provider","Pielęgniarka (O)",
"Fortinet Specialist","DOM POMOCY SPOLECZNEJ","Associate","Tarnów, PL","Machinery Mechanical Or Industrial Engineering Hospitality","Full-time","Health Care Provider","Pielęgniarka (O)",
"Fortinet Specialist","POLSKA PRESS GRUPA","Associate","Tarnów, PL","Newspapers","Full-time","Marketing Sales","Doradca Klienta ds. reklamy",
"Fortinet Specialist","Gazelle Global","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Information Technology","Freelance - Automation Tester (Mobile Apps)",
"Fortinet Specialist","Gazelle Global","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Information Technology","Freelance - Automation Tester (Mobile Apps)",
"Fortinet Specialist","Elsta","Mid-Senior level","Wieliczka, PL","Electrical & Electronic Manufacturing","Full-time","Other","Praktyki w Zespole Inżynieringu",
"Fortinet Specialist","Competence Solutions","Mid-Senior level","Krakow Metropolitan Area","Computer Software","Full-time","Engineering Information Technology","Senior DevOps Engineer",
"Fortinet Specialist","Competence Solutions","Mid-Senior level","Krakow Metropolitan Area","Computer Software","Full-time","Engineering Information Technology","Senior DevOps Engineer",
"Fortinet Specialist","Motorola Solutions","Associate","Cracow, Lesser Poland District, Poland","Telecommunications Public Safety","Full-time","Engineering Information Technology","Project Leader - Offer Management",
"Fortinet Specialist","ALTEN Polska","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Information Technology Engineering","Developer RUST ( REMOTE )",
"Fortinet Specialist","Hays","Mid-Senior level","Krakow Metropolitan Area","Consumer Goods Food & Beverages","Full-time","Accounting/Auditing","Control & Reporting Senior Associate (Fixed Assets) with Romanian",
"Fortinet Specialist","ALTCONNECT","Entry level","Tarnów, PL","Information Technology & Services","Full-time","Project Management Information Technology","Kierownik projektu Tarnów",
