Role,Tags,Additional,Salary,Locations
Senior Data Scientist,"[' Python', ' Bachelor of Computer Science', ' Very good programming skills', ' English', ' Polish', ' Team player', ' Critical thinking', ' Problem solving', ' Very strong analytical skills', ' 5 years of programming  experience', ' Python', ' Git', ' JIRA', ' GitLab', ' Gerrit', ' Jenkins', ' Pandas', ' GBDT', ' GCP', ' BigQuery', ' PyTorch', ' Keras', ' scikit-learn']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 15000 - 20000 PLN , Warszawa 
React Developer,"[' React', ' TypeScript', ' node', ' English', ' Redux', ' aws', ' Yarn']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 8000 - 15000 PLN , Gliwice 
Remote Senior React Developer,"[' React', ' JavaScript', ' CSS', ' HTML', ' Redux', ' TypeScript', ' Polish', ' Team player', ' Problem solving', ' Proactivity', ' English C1', ' REST', ' webpack']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 14000 - 18000 PLN ," Gdynia, Wrocław, Poznań, Warszawa "
ETL / BI Developer,"[' ETL', ' Oracle DB', ' Datastage', ' Informatica', ' Power BI', ' QlikView', ' OBIEE', ' data warehouses', ' English', ' Communication skills', ' Critical thinking', ' Jira', ' Confluence', ' Bamboo', ' Bitbucket', ' Apache Spark', ' Java', ' Kafka', ' Spring', ' MongoDB', ' Problem solving', ' Proactivity', ' Agile']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (7 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 124 - 134 PLN , Gdańsk 
Senior Python Developer,"[' Python', ' PostgreSQL', ' Git', ' REST', ' Docker', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Django', ' Linux', ' Flask', ' Celery', ' Redis', ' NoSQL', ' Kafka', ' Elasticsearch', ' Falcon', ' Polish']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 11500 - 17500 PLN ," Wrocław, Zielona góra "
Senior Ruby on Rails Developer,"[' JavaScript', ' SQL', ' Git', ' Ruby on Rails', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Angular', ' React', ' Vue']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 15000 - 20000 PLN , Wrocław 
Java Software Engineer,"[' Java', ' Spring', ' Git', ' JUnit', ' JMS/RabbitMQ', ' English', ' Polish', ' Critical thinking', ' Problem solving', ' JavaScript', ' Docker', ' AWS', ' Team player', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 6000 - 11000 PLN , Poznań 
DevOps Specialist,"[' Linux', ' AWS', ' Azure', ' SQL Server', ' English', ' Communication skills', ' Problem solving', ' Docker', ' Jenkins', ' Git']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 13000 - 17000 PLN , Warsaw 
Senior Linux Engineer,"[' Python', ' Linux', ' Git', ' C++', ' android']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' A lot ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 19000 - 22000 PLN ," Warszawa, London "
Software Engineer II - Data Team,"[' Java', ' Linux', ' hadoop', ' spark', ' kafka', ' English', ' Docker', ' python', ' scala', ' kubernetes', ' terraform']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': '', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 10000 - 13000 PLN , Krakow 
React Native Developer,"[' React Native', ' React', ' App distribution (for Android and iOS)', ' Hybrid apps, PWA, etc.', ' JavaScript', ' English', ' Communication skills', ' Problem solving', ' Android Studio', ' xCode', ' reactive and/or functional programming paradigms']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 6000 - 12000 PLN , Wrocław 
Remote Scala Engineer,"[' Scala', ' Spark', ' Elasticsearch', ' Linux', ' Hadoop (HDFS)']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 850 - 1150 PLN ," Kraków, Warszawa, Łódź, Wrocław "
Solution Engineer - Cloud,"[' Cloud', ' Big data', ' English', ' Communication skills', ' Java', ' Python', ' C++', ' GO', ' Ruby', ' AI', ' ML', ' Polish', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 15000 - 18400 PLN , Warszawa 
Database Developer in BI Team,"[' MS SQL', ' Database', ' SQL Server', ' Unix', ' sql', ' SSIS', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 11000 - 13500 PLN , Warszawa 
Senior Fullstack PHP Developer,"[' PHP', ' MySQL', ' Symfony', ' Git', ' Laravel', ' TDD', ' linux', ' Polish', ' Docker', ' elasticsearch', ' ES6']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 12000 - 14000 PLN , Kraków 
Senior .NET Szoftverfejlesztő,"[' .NET', ' Entity Framework', ' Visual Studio', ' Team player', ' WCF', ' REST', ' MVC', ' SQL Server', ' MS SQL']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No ', ' teljes munkaidő ': None}", 800k - 1.1M HUF , Szeged 
Senior Java Developer,"[' Java', ' Spring', ' Hibernate', ' Java EE', ' JPA', ' javascript', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 13000 - 15000 PLN , Kraków 
Java Developer,"[' TDD', ' Programming', ' Technology studies or own projects', ' Software craftsmanship', ' Critical thinking', ' Problem solving', ' Clean Code', ' Java', ' Spring', ' Hibernate', ' Git', ' Linux', ' PostgreSQL', ' JavaScript', ' Cryptography', ' HTTP', ' Ruby', ' Elixir', ' C++', ' Usability aware', ' C#', ' C', ' Haskell', ' Python', ' English', ' Good technical writer']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes ', ' CTO is a former programmer ': None, ' Security conscious ': None, ' Face to face communication ': None, ' Hacker culture ': None, ' Reverse engineering ': None, ' Silent working space ': None}", 6500 - 13000 PLN , Warszawa 
.NET Engineer,"[' .NET', ' WCF', ' SQL', ' C#', ' Powershell', ' GIT', ' English', ' Polish', ' Agile/Scrum']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': '', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 100 - 130 PLN , Łódź 
Senior Java Engineer,"[' Java', ' Spring', ' Hibernate', ' Git', ' REST', ' Jenkins', ' JUnit', ' JavaScript', ' Angular', ' HTML', ' TypeScript', ' AWS', ' docker', ' CQRS', ' elasticsearch', ' kubernetes', ' English', ' Polish', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 12600 - 15456 PLN , Poznań 
Senior QA Engineer,"[' .NET', ' Azure', ' SQL Server', ' Test automation', ' Microsoft Test Manager', ' TFS', ' Selenium WebDriver', ' MSTest', ' C#', ' automated test scripts', ' ""testing tools""', ' Unit Tests', ' Test Cases', ' NUnit', ' xUnit', ' DevOps', ' Team player', ' Ambitious']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 100 - 140 PLN ,  warsaw 
Mid Scala Developer (Remote),"[' Scala', ' Kafka', ' Flink', ' Cassandra', ' Python', ' Git', ' PostgreSQL']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 130 - 147 PLN ," Warszawa, Kraków, Gdańsk, Wrocław "
iOS Developer,"[' ios', ' Git (GitFlow)', ' Native iOS framework', ' Swift 5/Objective-C', ' REST API', ' AppStore Connect (Release handling, Store handling)', ' English', ' Team player', ' Jenkins', ' fastlane', ' Firebase', ' Azure Devops (TFS/VSTS)', ' Scripting', ' Charles Proxy', ' large enterprise', ' Ruby', ' banking', ' Agile', ' distributed teams']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-06-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}", 17600 - 24800 PLN , Warszawa 
Junior .NET Developer,"[' .NET', ' Visual Studio', ' SQL', ' Polish', ' Problem solving', ' English', ' Communication skills']","{' Job profile ': ' Mainly customer support ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 4000 - 6000 PLN , Wrocław 
Senior Backend Developer,"[' Java', ' Spring', ' PostgreSQL', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Jenkins', ' Docker', ' React', ' Redux', ' Bootstrap', ' Kubernetes', ' Nexus']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 19000 - 20700 PLN , Warsaw 
Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' Polish', ' Team player', ' Firebase', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 13000 - 17000 PLN , Warszawa 
