Role,Tags,Additional,Salary,Locations
React Frontend Developer,"[' React', ' JavaScript', ' CSS', ' Git', ' REST', ' html5', ' node.js', ' Angular', ' TypeScript', ' Team player', ' Communication skills', ' Leadership skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 600k - 1.2M HUF , Budapest 
Front End Developer,"[' Angular', ' JavaScript', ' CSS', ' HTML', ' React', ' Design UI prototypes', ' Redux', ' HTTP/REST', ' Perform frontend requirements analysis', ' vue.js', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Analytical skills', ' TypeScript', ' REST', ' webpack', ' Knowledge of Test automation tools (Cypress, Puppeteer)', ' CICD', ' UI prototyping tools (Sketch, Invision, Figma)', ' Node.js / Python / Java', ' Graphics software - Adobe Suite / Photoshop', ' Familiarity with a mobile first design approach']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 8000 - 15000 PLN , Kraków 
Frontend Developer,"[' JavaScript', ' jQuery', ' Angular', ' CSS', ' HTML', ' redux', ' Team player', ' Communication skills', ' React', ' vue.js', ' AWS/Azure', ' chai/mocca', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 900 - 1300 PLN ," Kraków, Katowice "
Python Developer,"[' Python', ' Django', ' PostgreSQL', ' experience in development of web applications', ' English', ' Team player', ' Positive attitude', ' insight into IT security issues']","{' Start ': ' 2020-05-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 12000 - 14000 PLN , Warszawa 
Mid/Senior Java Developer (with English),"[' Java', ' Spring', ' Hibernate', ' JavaScript', ' Angular', ' XML', ' Servlets', ' Web Services', ' Struts', ' English', ' SQL', ' JSP', ' JSF', ' jQuery', ' SQL Server', ' Oracle']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (10000 PLN) ', ' Freedom to choose tools ': ' Yes '}", 8000 - 16000 PLN , Wrocław 
Risk Management Contractor,"[' SQL', ' Business Inteligence', ' An advanced degree in finance', ' Programming', ' MA or MSc in economics, physics, mathematics, IT or rel...', ' English', ' Critical thinking', ' Problem solving', ' Proactivity', ' Open to travel inside Western Europe', ' Python', ' ETL', ' Oracle DB', ' SQL Server', ' PostgreSQL', ' R', ' Machine learning', ' VBA', ' OneSumX', ' SAS', ' CFA, FRM, PRM', ' Temenos', ' Avaloq', ' Moses', ' Olympic', ' SAP', ' Tableau', ' Qlickview', ' Business Objects', ' Polish', ' Dutch', ' French']","{' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (1 year) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' A lot ', ' Freedom to choose tools ': ' Yes ', ' Business opportunities ': None}", 1600 - 3200 PLN ," Brussels, Frankfurt am main, Dublin "
Remote Python Developer,"[' Python', ' Git', ' ETL', ' sql', ' PyUnit', ' English', ' Team player', ' Communication skills', ' Docker', ' Kubernetes', ' AWS CloudFormation', ' Terraform', ' Pandas']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 600 - 750 PLN , Warsaw 
Remote DevOps/Network Engineer,"[' Python', ' Linux', ' Docker', ' NFV/SDN', ' Bash', ' English', ' Polish', ' Team player', ' Networking', ' Virtualization platforms', ' Application deployment', ' Solution design', ' Prototype testing', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 13000 - 20000 PLN , Warsaw 
Analityk Systemowy,"[' SQL', ' UML', ' BPMN', ' Enterprise architect', ' System analysis', ' English', ' Team player', ' Communication skills', ' JIRA', ' Confluence', ' Business analysis', ' Financial business domain']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15000 - 19000 PLN , Poznań 
Remote Security Engineer,"[' Linux', ' Cryptography', ' Blockchain', ' English', ' Critical thinking', ' Problem solving', ' Proactivity', ' Git', ' .NET']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}",,
Senior Angular Developer,"[' Angular', ' JavaScript', ' CSS', ' HTML', ' Git', ' English', ' Team player', ' Problem solving', ' TypeScript', ' Sass', ' REST', ' RxJS', ' node', ' Node.js', ' Communication skills', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 900k - 1.2M HUF , Budapest 
React Developer,"[' React', ' JavaScript', ' CSS', ' Git', ' TypeScript', ' Polish', ' webpack', ' CSS-in-JS', ' A11y', ' hooks', ' Jest', ' styled-components', ' emotion', ' English', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 10000 - 15000 PLN ," Poznań, Wrocław "
Java Developer,"[' Java', ' Spring', ' Hibernate', ' Git', ' REST', ' Maven', ' JPA', ' SQL', ' Oracle DB', ' Databases', ' CI/CD', ' JMS', ' Experience with Microservices', ' Experience in testing', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' JavaScript', ' React', ' Experience with cloud']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 18000 - 24000 PLN ," Warszawa, Wrocław "
Senior Java Developer,"[' Java', ' Jenkins', ' JUnit', ' Linux / Unix OS', ' Jenkins / Docker', ' JUnit / Mokito', ' kafka', ' Spring', ' Hibernate', ' SQL', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 15000 - 20000 PLN , Krakow 
Remote or Office QA Engineer,"[' Python', ' Linux', ' Git', ' Docker', ' Code Reviews', ' English', ' Polish', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Agile', ' Clean Code', ' AWS', ' DevOps skills', ' Elasticsearch', ' Kubernetes', ' interested in Big Data and Cloud', ' AWS CodeBuild', ' AWS CodePipeline', ' attention to detail', ' excellent communication skills', ' can-do attitude']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes ', ' Working remotely or from the office ': None}", 8000 - 14000 PLN , Warszawa 
Fullstack Engineer (Django/Vue),"[' Python', ' Django', ' PostgreSQL', ' Celery', ' Docker', ' Ansible', ' JavaScript', ' React/Vue', ' English', ' Redis', ' Webpack', ' Elasticsearch', ' Memcached', ' HTML/CSS', ' AWS']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 8000 - 16000 PLN , Warsaw 
JAVA Developer,"[' Java', ' Java 8-12 on the OCP level', ' object-oriented programming', ' Communication skills', ' Basic architectural knowledge', ' ""Software craftsman"" spirit', ' work inside the self-organizing team', ' Thirst for knowledge', ' motivation to self-education', ' Git', ' MongoDB', ' TDD/BDD', ' DDD', ' Hexagonal architecture', ' ES', ' CQRS', ' Spring Boot', ' Kafka or RabbitMQ', ' Gradle', ' Kubernetes', ' Knowledge in field of the  Distributed S']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 12000 - 20000 PLN , Kraków 
Fullstack PHP Engineer,"[' PHP', ' MySQL', ' Git', ' REST', ' Application monitoring approach', ' English', ' Team player', ' Problem solving', ' Symfony', ' Azure environments', ' SQL optimisation']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 7500 - 15000 PLN ," Warsaw, Zielona góra "
System Analyst,"[' Excel', ' Business analysis', ' Financial business domain', ' System analysis', ' Hungarian', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Analytical skills', ' Banking domain', ' SQL', ' JIRA', ' Confluence', ' Payments: GIRO, SWIFT, SEPA, IG2, IG3', ' Accounts, Deposits, Cash', ' Bank Accounting', ' Critical thinking', ' E-banking, CRM, Front-end', ' Core Banking System', ' Loans and Risk Management', ' Banking IT architecture', ' Project Management', ' Ability to travel when needed']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' A lot ', ' Freedom to choose tools ': ' No '}", 700k - 1.4M HUF ," Budapest, Beograd "
Senior Software Engineer (Go),"[' golang', ' microservices', ' distributed systems', ' Polyglot', ' devops', ' Team player', ' Communication skills', ' Java', ' Spring', ' Python', ' REST', ' Docker', ' PostgreSQL', ' RabbitMQ', ' AWS', ' cd', ' test automation', ' travis', ' Kubernetes', ' HTTP', ' contract-based testing', ' bdd', ' tdd', ' terraform', ' linkerd', ' kongo', ' github', ' prometheus', ' SQS', ' golang', ' Google cloud platform', ' EC2', ' ECS', ' ansible', ' infrastructure as a code', ' Pair programming', ' clean code']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' 20 % ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No ', ' 100% remote ': None}", 300 - 400 EUR , London 
Mid Linux Engineer,"[' Python', ' Linux', ' ruby', ' jenkins', ' groovy', ' English', ' Communication skills', ' Proactivity', ' azure']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (10 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 21000 - 22500 PLN , Wrocław 
Vue.js Developer,"[' JavaScript', ' CSS', ' HTML', ' Git', ' vue.js', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' webpack', ' devops', ' express']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 8000 - 14000 PLN , Dąbrowa górnicza 
Fullstack Java Developer,"[' Java', ' REST', ' JavaScript', ' English', ' Team player', ' Problem solving', ' Spring', ' Hibernate', ' Git', ' Java EE', ' Angular', ' React', ' TypeScript', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' 75 % ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 550k - 770k HUF , Budapest 
Remote WordPress Plugin Developer,"[' PHP', ' Git', ' Wordpress', ' English', ' Polish', ' Scrum', ' JS framework', ' WooCommerce', ' Team player', ' Communication skills']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}",,
C++ Developer (AR & Computer Vision),"[' C++', ' Linux', ' Git', ' CMake', ' 3D math', ' linear algebra (vector math, matrices)', ' algorithms', ' data structures', ' English', ' Shell', ' OpenGL', ' Python', ' Java', ' android', ' AR experience', ' computer vision', ' hands-on Docker experience']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 7000 - 14000 PLN , Kraków 
DevOps Engineer in logistics,"[' Docker', ' Jenkins', ' Git', ' Nexus', ' Kubernetes', ' React', ' Redux', ' Bootstrap', ' HTML5', ' CSS3', ' Java', ' Spring Boot', ' Spring Security', ' Spring Data', ' Spring Kafka', ' PostgreSQL11', ' Google Cloud']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 19000 - 20700 PLN , Warsaw 
Senior JS Developer Angular/React,"[' JavaScript', ' Problem solving', ' TypeScript', ' Angular', ' React']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' 80 % ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (3000 PLN) ', ' Freedom to choose tools ': ' No '}", 16000 - 18000 PLN ," Kraków, Katowice, Warszawa "
Senior Java Developer,"[' Java', ' SQL', ' Spring or JEE platforms', ' design patterns', ' web applications', ' unit tests', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Domain Driven Design', ' GCP/AWS', ' Experience with large datasets']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 9000 - 16000 PLN , Gdańsk 
Senior Software Engineer,"[' Java', ' Spring', ' Spring Boot', ' English', ' Communication skills', ' Problem solving', ' Proactivity', ' Clean Code', ' AWS', ' React', ' Kubernetes', ' Terraform', ' Continuous Delivery']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 15000 - 21000 PLN , Kraków 
Python Developer,"[' Python', ' Git', ' ML algorithms', ' an academic degree in computer science', ' Pandas', ' NumPy', ' data modelling', ' English', ' Polish', ' Team player', ' Communication skills', ' Sphinx', ' financial regulation']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14000 - 16000 PLN , Warszawa 
Senior React Native Developer,"[' JavaScript', ' React', ' Git', ' webpack', ' Redux', ' React native', ' typescript', ' unit test', ' test automation', ' English', ' Polish', ' Team player', ' Communication skills', ' Leadership skills', ' MobX', ' java', ' kotlin', ' swift', ' objectivec', ' flow', ' GraphQL']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (3000 PLN) ', ' Freedom to choose tools ': ' Yes '}", 12000 - 17000 PLN , Kraków 
JavaScript Developer Angular/React,"[' JavaScript', ' Problem solving', ' TypeScript', ' Angular', ' React']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' 80 % ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (3000 PLN) ', ' Freedom to choose tools ': ' No '}", 10000 - 18000 PLN ," Kraków, Katowice, Warszawa "
"Fullstack Developer (React.js, PHP)","[' React', ' REST', ' PHP', ' Symfony', ' Communication skills', ' fluent English', ' Node', ' Shopware 5', ' RabbitMQ', ' mysql', ' BabelJS', ' Vagrant', ' ansible']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 16000 - 20000 PLN , Wrocław 
Junior JavaScript Developer,"[' CSS', ' HTML', ' Redux', ' Git', ' Linux', ' English', ' Polish', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 4200 - 7000 PLN , Poznań 
Senior Java Developer-Big Data,"[' Java', ' Git', ' Maven', ' Docker', ' Big Data', ' Data Warehouse', ' Scala', ' microservices', ' SBT', ' Kubernetes', ' English', ' Team player', ' Communication skills', ' AWS', ' python', ' Kafka', ' Kinesis', ' Flink', ' Grafana', ' Kibana', ' Terraform', ' Cloud Formation']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 13000 - 17000 PLN , Warszawa 
Junior Ruby on Rails Developer,"[' SQL', ' Docker', ' Ruby on Rails', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Problem solving', ' AWS']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 7000 - 8000 PLN , Warszawa 
Senior Android Developer,"[' Java', ' android', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 11000 - 15000 PLN , Wroclaw 
Remote DevOps Engineer,"[' Jenkins', ' Terraform', ' AWS CloudBuild', ' Kubernetes', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Proactivity', ' Docker', ' Python', ' Ansible', ' Puppet', ' Azure', ' Ruby', ' CHEF', ' TravisCI', ' CircleCI', ' AppVeyor']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 14000 - 22000 PLN ," Rzeszów, Poznań, Wrocław "
Java Developer,"[' Java', ' Spring', ' Hibernate', ' REST', ' JPA', ' SQL', ' JSON', ' SOAP', ' XML', ' XSD', ' Jenkins', ' Kubernetes', ' Docker', ' Selenium']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 12000 - 17000 PLN , Warszawa 
Systems Architect,"[' Docker', ' Python', ' Linux', ' Azure', ' UML', ' SaaS', ' Multi-tenant', ' English', ' Polish', ' Communication skills', ' Leadership skills', ' AWS', ' Big Data', ' Jira', ' Confluence', ' DDD', ' Kubernetes', ' Docker Swarm', ' Critical thinking']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 15000 - 20000 PLN , Gdańsk 
IOS Developer,"[' Swift', ' Git', ' Xcode', ' CocoaPods', ' iOS SDK', ' ios', ' OOP', ' POP', ' design patterns', ' fastlane', ' Realm', ' Xcode Instruments', ' unit test', ' English', ' Polish', ' Communication skills', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 8000 - 14000 PLN , Poznań 
Remote DevOps Engineer - Monitoring,"[' Linux', ' Python', ' Puppet / SaltStack', ' KVM', ' English', ' Problem solving', ' Docker', ' Virtualization', ' monitoring/logging solution', ' SDN', ' Kubernetes']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 13000 - 18000 PLN , Poznan 
React Developer,"[' React', ' Node.js', ' Express', ' Koa', ' React Native', ' Expo', ' GraphQL (Apollo)', ' Bash', ' Docker', ' Kubernetes', ' Prisma ORM', ' Hubspot API', ' Css-In-JS']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 3333 - 5000 EUR , Hamburg 
Fullstack Java Expert,"[' Java', ' Spring', ' Hibernate', ' Git', ' REST', ' Serverless', ' SQL', ' AWS', ' English', ' Polish', ' Team player', ' Critical thinking', ' Problem solving', ' Proactivity', ' React', ' ES6+', ' Redux', ' CSS3', ' TDD']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 16000 - 20000 PLN , Wrocław 
Junior Fullstack Java Developer,"[' Java', ' Spring', ' Hibernate', ' Git', ' Angular', ' HTML', ' CSS', ' English', ' Communication skills', ' JavaScript']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 7000 - 8000 PLN , Warsaw 
Frontend Developer,"[' HTML&CSS', ' JavaScript', ' PHP', ' Bootstrap']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-04-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 5000 - 7000 PLN , Kraków 
PHP Developer,"[' PHP', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 6500 - 8000 PLN ," Kraków, Kraków "
Remote Frontend Developer,"[' React', ' CSS', ' HTML', ' English', ' Communication skills', ' JavaScript', ' test frameworks', ' digital advertising', ' Team player', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No ', ' Work from home ': None}", 3000 - 4500 EUR , Copenhagen 
