"Employment Type","Job Functions","Industry","Company Location","position","Company Name","Seniority Level"
"Full-time","Management Manufacturing","Hospitality","Łódź, PL","Kucharz (k/m)","Company Location","Entry level",
"Full-time","Management Manufacturing","Hospitality","Łódź, PL","Kucharz (k/m)","Company Location","Entry level",
"Full-time","Customer Service Information Technology","Hospital & Health Care","Łódź, PL","Customer Services Advisor","Philips","Entry level",
"Full-time","Finance","Consumer Goods","Aleksandrów Łódzki, PL","Finance Managerial Trainee","Procter & Gamble","Internship",
"Full-time","Education Training","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Early Talent and University Relations Specialist","ABB","Mid-Senior level",
"Full-time","Sales Business Development","Insurance","Łódź, PL","MAGAZYNIER-KIEROWCA","Pol-Assistance sp. z o.o.","Entry level",
"Full-time","Other","Information Technology & Services","Łódź, PL","Krojczy","SHUBA Solutions","Entry level",
"Full-time","Customer Service Information Technology","Staffing & Recruiting Consumer Goods Retail","Konstantynów Łódzki, PL","Order Coordinator","Alrec","Entry level",
"Full-time","Accounting/Auditing Finance","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","AP Accountant with English [Online Recruitment Process]","Barry Callebaut Group","Entry level",
"Full-time","Management Manufacturing","Commercial Real Estate Real Estate Investment Management","Łódź, PL","Koordynator Łańcucha Dostaw","EPCM","Entry level",
"Full-time","Management Manufacturing","Commercial Real Estate Real Estate Investment Management","Łódź, PL","Koordynator Łańcucha Dostaw","EPCM","Entry level",
"Full-time","Information Technology","Computer Software","Lodz, Lodz District, Poland","Product Owner","IDEMIA","Mid-Senior level",
"Full-time","Information Technology","Computer Software","Lodz, Lodz District, Poland","Product Owner","IDEMIA","Mid-Senior level",
"Full-time","Other","Financial Services","Łódź, PL","Menadżer Regionu","Capital Service S.A. - loan originator, financial broker","Mid-Senior level",
"Full-time","Other","Financial Services","Łódź, PL","Menadżer Regionu","Capital Service S.A. - loan originator, financial broker","Mid-Senior level",
"Full-time","Other","Design","Pabianice, PL","Zatrudnię Ustawiacza Wtryskarek","Kraf&Co.","Mid-Senior level",
"Full-time","Other","Design","Pabianice, PL","Zatrudnię Ustawiacza Wtryskarek","Kraf&Co.","Mid-Senior level",
"Full-time","Other","Security & Investigations","Rzgów, PL","Szwaczka maszynowa","PPH LIMITED","Mid-Senior level",
"Full-time","Other","Security & Investigations","Rzgów, PL","Szwaczka maszynowa","PPH LIMITED","Mid-Senior level",
"Full-time","Engineering Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","Junior Software Engineer in Autonomous Driving Team","TomTom","Mid-Senior level",
"Full-time","Engineering Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","Junior Software Engineer in Autonomous Driving Team","TomTom","Mid-Senior level",
"Full-time","Other Information Technology Management","Consumer Electronics","Łódź, PL","Ochroniarz obiektu","Humax","Entry level",
"Full-time","Other","Marketing & Advertising Information Technology & Services Staffing & Recruiting","Aleksandrów Łódzki, PL","ПРАЦІВНИК НА ВИРОБНИЦТВО LEGS","Legs Sp. z o.o.","Entry level",
"Full-time","Other","Marketing & Advertising Information Technology & Services Staffing & Recruiting","Aleksandrów Łódzki, PL","ПРАЦІВНИК НА ВИРОБНИЦТВО LEGS","Legs Sp. z o.o.","Entry level",
"Full-time","Management Manufacturing","Computer Software","Łódź, PL","ELEKTRYK (NIEMCY)","Active Business Solutions","Entry level",
"Full-time","Management Manufacturing","Computer Software","Łódź, PL","ELEKTRYK (NIEMCY)","Active Business Solutions","Entry level",
"Full-time","Other","Architecture & Planning","Łódź, PL","Oferty pracy","Kilargo","Entry level",
"Contract","Engineering","Information Technology & Services","Łódź, PL","Web Application Consultant","Mobica","Entry level",
"Full-time","Education Training","Computer Hardware Computer Software Information Technology & Services","Łódź, PL","Dell Graduate Program - Test Engineering","Dell","Entry level",
"Full-time","Other","Computer Hardware Computer Software Information Technology & Services","Łódź, PL","Koordynator ds. Merchandisingu","PGM Sp. z o.o.","Associate",
"Full-time","Other","Food Production","Łódź, PL","Dam pracę","No Company","Associate",
"Full-time","Health Care Provider","Industrial Automation Machinery Consumer Electronics","Łódź, PL","LEKARZ POZ","Służba Celna","Associate",
"Full-time","Management Manufacturing","Paper & Forest Products","Łódź, PL","Logistics Director / Łódź","Whoohoo Poland","Mid-Senior level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","Zbrojarz","INB Marketing - praktycznie o marketingu","Mid-Senior level",
"Full-time","Management Manufacturing","Logistics & Supply Chain","Łódź, PL","Kierowca C+E","Idea Logistyka","Entry level",
"Full-time","Management Manufacturing","Logistics & Supply Chain","Łódź, PL","Kierowca C+E","Idea Logistyka","Entry level",
"Full-time","Information Technology","Information Technology & Services","Łódź, Łódzkie, Poland","Administrator Linux","Modis","Mid-Senior level",
"Full-time","Information Technology","Information Technology & Services","Łódź, Łódzkie, Poland","Administrator Linux","Modis","Mid-Senior level",
"Full-time","Quality Assurance","Pharmaceuticals","Łódź, PL","Tester oprogramowania","Pelion S.A.","Entry level",
"Full-time","Quality Assurance","Pharmaceuticals","Łódź, PL","Tester oprogramowania","Pelion S.A.","Entry level",
"Full-time","Marketing Public Relations Writing/Editing","Capital Markets","Łódź, PL","Copywriter","The Agave Group LLC","Entry level",
"Full-time","Marketing Public Relations Writing/Editing","Capital Markets","Łódź, PL","Copywriter","The Agave Group LLC","Entry level",
"Full-time","Other","Information Technology & Services Chemicals Consumer Goods","Łódź, PL","Product Technology Coordinator","Colep","Entry level",
"Full-time","Other","Information Technology & Services Chemicals Consumer Goods","Łódź, PL","Product Technology Coordinator","Colep","Entry level",
"Full-time","Other","Primary/Secondary Education Education Management Staffing & Recruiting","Łódź, PL","wykładanie towaru Gliwice","Fallwork Sp. z.o.o.","Entry level",
"Full-time","Other","Primary/Secondary Education Education Management Staffing & Recruiting","Łódź, PL","wykładanie towaru Gliwice","Fallwork Sp. z.o.o.","Entry level",
"Full-time","Information Technology","Information Technology & Services Computer Software Management Consulting","Łódź, PL","System Manager","DWF - Genuine SEO Agency","Associate",
"Full-time","Marketing Public Relations Writing/Editing","Marketing & Advertising","Łódź, PL","Junior Social Media Specialist","ATOM Agency","Entry level",
