"Employment Type","Job Functions","Industry","Company Location","position","Company Name","Seniority Level"
"Full-time","Accounting/Auditing Finance","Information Technology & Services Computer Software Financial Services","Łódź, PL","Administrator ds. księgowości z językiem holenderskim (m/k)","Cpl Jobs Poland","Entry level",
"Full-time","Customer Service Information Technology","Logistics & Supply Chain Staffing & Recruiting Financial Services","Łódź, PL","Customer Service Administrator with English","UPS","Entry level",
"Full-time","Customer Service Information Technology","Logistics & Supply Chain Staffing & Recruiting Financial Services","Łódź, PL","Customer Service Administrator with English","UPS","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Entertainment Computer Games","Łódź, PL","Game Programmer","Teyon","Entry level",
"Full-time","Management Manufacturing","Sports","Łódź, PL","Rzemieślnik - elektryk","Osrodek Sportu i rekreacji","Entry level",
"Full-time","Business Development Sales","Construction","Łódź, PL","Referent ds. biurowych","Laskomex","Entry level",
"Full-time","Other","Security & Investigations","Łódź, PL","Wózkowy z orzeczeniem Łódź Widzew Probet","Probet Sp. z o.o.","Entry level",
"Full-time","Sales Business Development","Security & Investigations","Łódź, PL","PRZEDSTAWICIEL HANDLOWY - Łódź i okolice","APP Sp. z o.o.","Entry level",
"Full-time","Sales Business Development","Security & Investigations","Łódź, PL","PRZEDSTAWICIEL HANDLOWY - Łódź i okolice","APP Sp. z o.o.","Entry level",
"Full-time","Health Care Provider","Professional Training & Coaching","Łódź, PL","Psycholog","Centrum Psychologiczno-Coachingowe inspeerio","Entry level",
"Full-time","Health Care Provider","Professional Training & Coaching","Łódź, PL","Psycholog","Centrum Psychologiczno-Coachingowe inspeerio","Entry level",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Zatrudnimy pielęgniarki w Domu Pomocy Społecznej","DOM POMOCY SPOLECZNEJ","Entry level",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Zatrudnimy pielęgniarki w Domu Pomocy Społecznej","DOM POMOCY SPOLECZNEJ","Entry level",
"Full-time","Other","Hospital & Health Care","Konstantynów Łódzki, PL","Laborant / Laborantka do pracy w laboratorium farb drukarskich","Inergis Sp. z o.o","Entry level",
"Full-time","Other","Hospital & Health Care","Konstantynów Łódzki, PL","Laborant / Laborantka do pracy w laboratorium farb drukarskich","Inergis Sp. z o.o","Entry level",
"Full-time","Management Manufacturing","Sports Food & Beverages Transportation/Trucking/Railroad","Pabianice, PL","Kurier - praca dorywcza","Takeaway.com","Entry level",
"Full-time","Management Manufacturing","Sports Food & Beverages Transportation/Trucking/Railroad","Pabianice, PL","Kurier - praca dorywcza","Takeaway.com","Entry level",
"Full-time","Other","Government Relations","Łódź, PL","Młodszy Kierownik Zmiany","Greek Trade Office","Associate",
"Full-time","Other","Government Relations","Łódź, PL","Młodszy Kierownik Zmiany","Greek Trade Office","Associate",
"Full-time","Management Manufacturing","Primary/Secondary Education Higher Education Education Management","Łódź, PL","Kierowca międzynarodowy kat. B | Bardzo atrakcyjne warunki !","JOANNA","Entry level",
"Full-time","Supply Chain Distribution Strategy/Planning","Logistics & Supply Chain Consumer Goods","Łódź, Łódzkie, Poland","Senior Forecasting Analyst","Whirlpool Corporation","Associate",
"Full-time","Project Management Business Development Finance","Financial Services Outsourcing/Offshoring Accounting","Lodz, Lodz District, Poland","Project / Transformation Manager","Conduent","Mid-Senior level",
"Full-time","Management Manufacturing","Banking Financial Services Investment Banking","Łódź, PL","Junior Process Officer, Lodz","Nordea","Mid-Senior level",
"Full-time","Other","Computer Software","Zgierz, PL","osoba do sekretariatu - Zgierz","STD","Mid-Senior level",
"Full-time","Finance Accounting/Auditing","Computer Networking","Lodz, Lodz District, Poland","Europe - Junior Financial Controller","Fujitsu Poland","Associate",
"Full-time","Business Development Sales","Pharmaceuticals","Łódź, PL","Reporting Lead","Takeda","Mid-Senior level",
"Full-time","Information Technology","Education Management Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","Team Leader","Flexidea","Associate",
"Full-time","Other","Education Management Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","Szwaczka","Mafra","Associate",
"Full-time","Other","Education Management Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","Szwaczka","Mafra","Associate",
"Full-time","Other","Food & Beverages Consumer Goods Financial Services","Łódź, PL","Register Your Interest – Europe, Middle-East and Africa","Tate & Lyle","Associate",
"Full-time","Other","Food & Beverages Consumer Goods Financial Services","Łódź, PL","Register Your Interest – Europe, Middle-East and Africa","Tate & Lyle","Associate",
"Full-time","Sales Business Development","Higher Education Human Resources Transportation/Trucking/Railroad","Stryków, PL","Magazynier","InterKadra Sp. z o.o.","Entry level",
"Full-time","Sales Business Development","Higher Education Human Resources Transportation/Trucking/Railroad","Stryków, PL","Magazynier","InterKadra Sp. z o.o.","Entry level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","SZWACZKI ZATRUDNIĘ","PPHU CENTRUM","Entry level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","SZWACZKI ZATRUDNIĘ","PPHU CENTRUM","Entry level",
"Full-time","Finance Sales","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","NORWESKI BANK ADMINISTRATOR","PMSolutions","Associate",
"Full-time","Finance Sales","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","NORWESKI BANK ADMINISTRATOR","PMSolutions","Associate",
"Full-time","Other","Machinery Staffing & Recruiting Human Resources","Łódź, PL","Poszukuję kasjerów","Global Technology Services LLC (GTS LLC- DUBAI)","Associate",
"Full-time","Other","Machinery Staffing & Recruiting Human Resources","Łódź, PL","Poszukuję kasjerów","Global Technology Services LLC (GTS LLC- DUBAI)","Associate",
"Full-time","Other","Machinery Staffing & Recruiting Human Resources","Łódź, PL","ZATEUDNIE SZWACZKI","PPH LIMITED","Associate",
"Full-time","Other","Machinery Staffing & Recruiting Human Resources","Łódź, PL","ZATEUDNIE SZWACZKI","PPH LIMITED","Associate",
"Full-time","Other","Computer Software","Łódź, PL","Montera instalacji wod kan","Aqua","Associate",
"Full-time","Other","Computer Software","Łódź, PL","Montera instalacji wod kan","Aqua","Associate",
"Full-time","Quality Assurance","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Quality Assurance Engineer","Vistex","Entry level",
"Full-time","Quality Assurance","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Quality Assurance Engineer","Vistex","Entry level",
"Full-time","Quality Assurance","Pharmaceuticals","Łódź, PL","Head of Quality Compliance","Takeda","Director",
"Full-time","Finance","Electrical & Electronic Manufacturing","Łódź, PL","Purchase to Pay Inquiry Specialist","Signify","Entry level",
"Full-time","Management Manufacturing","Banking Financial Services Investment Banking","Łódź, PL","Junior Process Officer, Łódź","Nordea","Entry level",
"Full-time","Sales Business Development","Health, Wellness & Fitness","Łódź, PL","Magazynier","Media Expert","Entry level",
"Full-time","Marketing Public Relations Writing/Editing","Marketing & Advertising","Łódź, PL","Copywriter","ATOM Agency","Entry level",
"Full-time","Other","Construction","Łódź, PL","dam prace","COTTON BARONS LIMITED","Entry level",
"Full-time","Other","Design Staffing & Recruiting Human Resources","Łódź, PL","Czynności produkcyjne","Company Location","Entry level",
"Full-time","Education Training","Information Technology & Services Biotechnology Pharmaceuticals","Pabianice, PL","Automatyk [rekrutacja online]","Adamed Pharma","Entry level",
"Full-time","Education Training","Information Technology & Services Biotechnology Pharmaceuticals","Pabianice, PL","Automatyk [rekrutacja online]","Adamed Pharma","Entry level",
"Full-time","Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","UX Visual Designer for Maps","TomTom","Entry level",
"Full-time","Accounting/Auditing Finance","Commercial Real Estate Real Estate Investment Management","Łódź, PL","Główna Księgowa","EPCM","Associate",
"Full-time","Health Care Provider","Industrial Automation Machinery Consumer Electronics","Łódź, PL","Lekarz laryngolog","Służba Celna","Associate",
"Full-time","Other","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Potrzebujesz nowej pracy? Zgłoś się do nas i zostań Operatorem Wózka Widłowego w Łodzi!","KS Service sp. z o.o.","Associate",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","Front-end (Angular2+) Developer","TeamQuest Sp z o.o.","Entry level",
"Full-time","Customer Service Information Technology","Logistics & Supply Chain Staffing & Recruiting Financial Services","Łódź, PL","Customer Service Administrator with English","UPS","Entry level",
"Full-time","Purchasing Supply Chain","Chemicals","Łódź, PL","Procurement Specialist with Spanish","Clariant","Associate",
"Full-time","Other Manufacturing","Computer Software Information Technology & Services Internet","Pabianice, PL","Stażystka/Stażysta Technik Utrzymania Ruchu/Mechanik/Elektryk (Apprenticeship Program)","Amazon","Associate",
"Full-time","Engineering Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","Scrum Master/Agile Project Coordinator for APIs (Geofencing, Notifications etc)","TomTom","Associate",
"Full-time","Engineering Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","Scrum Master/Agile Project Coordinator for APIs (Geofencing, Notifications etc)","TomTom","Associate",
"Full-time","Other","Machinery Staffing & Recruiting Human Resources","Pabianice, PL","Praca na dziale fresh","Global Technology Services LLC (GTS LLC- DUBAI)","Associate",
"Full-time","Human Resources","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Global HRIS Specialist [Online Recruitment Process]","Barry Callebaut Group","Entry level",
"Full-time","Human Resources","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Global HRIS Specialist [Online Recruitment Process]","Barry Callebaut Group","Entry level",
"Full-time","Other","Mental Health Care","Brzeziny, PL","Nabór na stanowisko psychologa","POWIATOWE CENTRUM POMOCY RODZINIE W SWIDNIKU","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","JavaScript Developer","Vistex","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","JavaScript Developer","Vistex","Entry level",
"Full-time","Education Training","Information Technology & Services Biotechnology Pharmaceuticals","Ksawerów, PL","Automatyk [rekrutacja online]","Adamed Pharma","Entry level",
"Full-time","Sales Management","Commercial Real Estate Real Estate Investment Management","Łódź, PL","Property Manager / Łódź","EPCM","Associate",
"Full-time","Sales Management","Commercial Real Estate Real Estate Investment Management","Łódź, PL","Property Manager / Łódź","EPCM","Associate",
"Full-time","Other","Environmental Services Mechanical Or Industrial Engineering Oil & Energy","Łódź, 90-350, PL","Ustawiacz Procesu Wtrysku","IDES Consultants Polska","Associate",
"Full-time","Other","Environmental Services Mechanical Or Industrial Engineering Oil & Energy","Łódź, 90-350, PL","Ustawiacz Procesu Wtrysku","IDES Consultants Polska","Associate",
"Full-time","Sales Business Development","Health, Wellness & Fitness","Łódź, PL","Magazynier","Media Expert","Entry level",
"Full-time","Sales Business Development","Marketing & Advertising","Pabianice, PL","Inżynier Sprzedaży","DTH","Director",
"Full-time","Sales Business Development","Staffing & Recruiting","Stryków, PL","DAM PRACE! MAGAZYNIER/PAKOWACZ! STRYKÓW, DOBRA, ZGIERZ, ŁÓDŹ","Jobman Group Sp. z o.o.","Entry level",
"Full-time","Sales Business Development","Staffing & Recruiting","Stryków, PL","DAM PRACE! MAGAZYNIER/PAKOWACZ! STRYKÓW, DOBRA, ZGIERZ, ŁÓDŹ","Jobman Group Sp. z o.o.","Entry level",
"Full-time","Design Art/Creative Information Technology","Marketing & Advertising Design Internet","Łódź, PL","Junior Graphic Designer (Lodz)","I LIKE ART","Entry level",
"Full-time","Design Art/Creative Information Technology","Marketing & Advertising Design Internet","Łódź, PL","Junior Graphic Designer (Lodz)","I LIKE ART","Entry level",
"Full-time","Business Development Sales","Pharmaceuticals","Łódź, PL","Analityk biznesowy","Pelion S.A.","Associate",
"Full-time","Business Development Sales","Pharmaceuticals","Łódź, PL","Analityk biznesowy","Pelion S.A.","Associate",
"Full-time","Marketing Public Relations Writing/Editing","Information Technology & Services","Łódź, PL","Koordynator Produkcji Ubioru","SHUBA Solutions","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Financial Services","Łódź, PL","Front-end Developer","Accenture","Associate",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Operator","ABB","Associate",
"Full-time","Finance","Electrical & Electronic Manufacturing","Łódź, PL","Intern Record to Report","Signify","Internship",
"Full-time","Marketing Public Relations Writing/Editing","Information Technology & Services","Łódź, PL","Koordynator Produkcji Ubioru","SHUBA Solutions","Entry level",
"Full-time","Other Manufacturing","Computer Software Information Technology & Services Internet","Pabianice, PL","Stażystka/Stażysta Technik Utrzymania Ruchu/Mechanik/Elektryk (Apprenticeship Program)","Amazon","Entry level",
"Full-time","Finance Other Accounting/Auditing","Financial Services Accounting Banking","Łódź, PL","BTC Collection Specialist with Nordics languages","Spring Professional","Associate",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","Front-end (Angular2+) Developer","TeamQuest Sp z o.o.","Entry level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","kierownik referatu","TOP 100 KANCELARII","Mid-Senior level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","kierownik referatu","TOP 100 KANCELARII","Mid-Senior level",
"Full-time","Accounting/Auditing Finance","Computer & Network Security","Łódź, PL","Samodzielny księgowy","Instytut Technologii Informatycznych we Wrocławiu","Associate",
"Full-time","Project Management Information Technology","Information Technology & Services Chemicals Consumer Goods","Łódź, PL","Project Manager","Colep","Entry level",
"Full-time","Project Management Information Technology","Information Technology & Services Chemicals Consumer Goods","Łódź, PL","Project Manager","Colep","Entry level",
"Full-time","Sales Marketing","Electrical & Electronic Manufacturing Machinery Mechanical Or Industrial Engineering","Łódź, PL","Technical Project Manager","Amcor","Mid-Senior level",
"Full-time","Sales Marketing","Electrical & Electronic Manufacturing Machinery Mechanical Or Industrial Engineering","Łódź, PL","Technical Project Manager","Amcor","Mid-Senior level",
"Full-time","Engineering Information Technology","Civil Engineering","Łódź, PL","Inspektor ds. Diagnostyki","ERBUD S.A.","Entry level",
"Full-time","Other","Staffing & Recruiting","Rzgów, PL","Potrzebujesz nowej pracy? Zgłoś się do nas i zostań Operatorem Wózka Widłowego w Łodzi! - Rzgów","CRAFTS","Entry level",
"Full-time","Other","Staffing & Recruiting","Rzgów, PL","Potrzebujesz nowej pracy? Zgłoś się do nas i zostań Operatorem Wózka Widłowego w Łodzi! - Rzgów","CRAFTS","Entry level",
"Full-time","Design Art/Creative Information Technology","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Junior Designer Support z językiem francuskim","CEE Experts by L.M. International Group","Entry level",
"Full-time","Design Art/Creative Information Technology","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Junior Designer Support z językiem francuskim","CEE Experts by L.M. International Group","Entry level",
"Full-time","Other","Plastics","Łódź, PL","Praca w pralni , możliwość przejazdu kredytowanego !!","Flexcraft","Entry level",
"Full-time","Other","Plastics","Łódź, PL","Praca w pralni , możliwość przejazdu kredytowanego !!","Flexcraft","Entry level",
"Full-time","Education Training","Marketing & Advertising Public Relations & Communications Management Consulting","Łódź, PL","Nauczyciel przedmiotów zawodowych","Centrum Nauki i Biznesu ŻAK","Entry level",
"Full-time","Education Training","Marketing & Advertising Public Relations & Communications Management Consulting","Łódź, PL","Nauczyciel przedmiotów zawodowych","Centrum Nauki i Biznesu ŻAK","Entry level",
"Full-time","Health Care Provider","Hospital & Health Care","Łódź, PL","Lekarz Chirurg dziecięcy","Medicover","Associate",
"Full-time","Health Care Provider","Hospital & Health Care","Łódź, PL","Lekarz Chirurg dziecięcy","Medicover","Associate",
"Full-time","Finance Accounting/Auditing","Outsourcing/Offshoring","Łódź, Łódzkie, Poland","GL Specialist (online recruitment)","Infosys Poland","Associate",
"Full-time","Engineering Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","Expert Software Engineer for CloudOps","TomTom","Associate",
"Full-time","Finance","Consumer Goods","Aleksandrów Łódzki, PL","Managerial Summer Internship in Finance","Procter & Gamble","Internship",
"Full-time","Management Manufacturing","Staffing & Recruiting","Łódź, PL","DEKARZ","Agencja Pracy Select","Entry level",
"Full-time","Sales Business Development","Capital Markets","Łódź, PL","Przedstawiciel Handlowy","The Agave Group LLC","Entry level",
"Full-time","Engineering Information Technology","Aviation & Aerospace Staffing & Recruiting Management Consulting","Ozorków, PL","Inżynier elektryk-automatyk","GRAVET CONSULTING SP. Z O.O.","Entry level",
"Full-time","Sales Business Development","Marketing & Advertising","Łódź, PL","Przedstawiciel Handlowy (Chemia Spożywcza) - Łódź","Talent Partners","Entry level",
"Full-time","Sales Business Development","Marketing & Advertising","Łódź, PL","Przedstawiciel Handlowy (Chemia Spożywcza) - Łódź","Talent Partners","Entry level",
"Full-time","Sales Business Development","Marketing & Advertising","Łódź, PL","Przedstawiciel Handlowy (Chemia Spożywcza) - Łódź","Talent Partners","Entry level",
"Full-time","Information Technology","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Programista Baz Danych","FABRITY","Entry level",
"Full-time","Information Technology","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Programista Baz Danych","FABRITY","Entry level",
"Full-time","Health Care Provider","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Rejestratorka Medyczna/Rejestrator Medyczny","Centrum Medyczne","Entry level",
"Full-time","Health Care Provider","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Rejestratorka Medyczna/Rejestrator Medyczny","Centrum Medyczne","Entry level",
"Full-time","Management Manufacturing","Sports Food & Beverages Transportation/Trucking/Railroad","Łódź, PL","Kurier - praca dorywcza","Takeaway.com","Entry level",
"Full-time","Management Manufacturing","Sports Food & Beverages Transportation/Trucking/Railroad","Łódź, PL","Kurier - praca dorywcza","Takeaway.com","Entry level",
"Full-time","Customer Service Information Technology","Logistics & Supply Chain Staffing & Recruiting Financial Services","Łódź, PL","Customer Service Administrator with English","UPS","Entry level",
"Full-time","Customer Service Information Technology","Logistics & Supply Chain Staffing & Recruiting Financial Services","Łódź, PL","Customer Service Administrator with English","UPS","Entry level",
"Full-time","Design Art/Creative Information Technology","Wholesale","Łódź, PL","Aktor","Transfer Multisort Elektronik","Entry level",
"Full-time","Design Art/Creative Information Technology","Wholesale","Łódź, PL","Aktor","Transfer Multisort Elektronik","Entry level",
"Full-time","Sales Business Development","Biotechnology","Ozorków, PL","Sprzedawca AMIC","Åmic AB","Entry level",
"Full-time","Sales Business Development","Biotechnology","Ozorków, PL","Sprzedawca AMIC","Åmic AB","Entry level",
"Full-time","Purchasing Supply Chain","Food & Beverages Food Production Consumer Goods","Łódź, PL","Procurement Intern (Clerk)","McCormick & Company","Internship",
"Full-time","Purchasing Supply Chain","Food & Beverages Food Production Consumer Goods","Łódź, PL","Procurement Intern (Clerk)","McCormick & Company","Internship",
"Full-time","Other","Design Printing Graphic Design","Łódź, PL","Pizzerman","Miasto Mody Ptak","Internship",
"Full-time","Other","Design Printing Graphic Design","Łódź, PL","Pizzerman","Miasto Mody Ptak","Internship",
"Full-time","Finance","Electrical & Electronic Manufacturing","Łódź, PL","Purchase to Pay Inquiry Intern","Signify","Internship",
"Full-time","Finance","Electrical & Electronic Manufacturing","Łódź, PL","Intern Record to Report","Signify","Internship",
"Full-time","Management Manufacturing","Banking Financial Services Investment Banking","Łódź, PL","Junior Process Officer in Banking Operations Poland, Łódź","Nordea","Internship",
"Full-time","Sales Business Development","Higher Education Human Resources Transportation/Trucking/Railroad","Pabianice, PL","Merchandiser mobilny","InterKadra Sp. z o.o.","Entry level",
"Full-time","Management Manufacturing","Design Staffing & Recruiting Human Resources","Pabianice, PL","Kurier","Company Location","Entry level",
"Full-time","Accounting/Auditing","Banking Financial Services Investment Banking","Łódź, PL","Process Officer, Łódź","Nordea","Entry level",
"Full-time","Administrative","Marketing & Advertising Computer Software Internet","Łódź, PL","Administrative Officer - Lodz","InterSynergy","Entry level",
"Full-time","Marketing Public Relations Writing/Editing","Marketing & Advertising","Łódź, PL","Copywriter","ATOM Agency","Entry level",
"Full-time","Marketing Public Relations Writing/Editing","Marketing & Advertising","Łódź, PL","Copywriter","ATOM Agency","Entry level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","Automatyk","AGAT IT S.A.","Entry level",
"Full-time","Sales Business Development","Education Management Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","Magazynier Teolin","Flexidea","Entry level",
"Full-time","Sales Business Development","Education Management Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","Magazynier Teolin","Flexidea","Entry level",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Łyszkowice - Praca w markecie Dino Polska","Dino Polska S.A.","Entry level",
"Full-time","Customer Service Accounting/Auditing Finance","Financial Services Outsourcing/Offshoring Accounting","Lodz, Lodz District, Poland","Service Desk Agent with English and Spanish","Conduent","Associate",
"Full-time","Customer Service Accounting/Auditing Finance","Financial Services Outsourcing/Offshoring Accounting","Lodz, Lodz District, Poland","Service Desk Agent with English and Spanish","Conduent","Associate",
"Full-time","Sales Business Development","Marketing & Advertising","Łódź, PL","Inżynier Sprzedaży","DTH","Director",
"Full-time","Sales Business Development","Staffing & Recruiting","Łódź, PL","Magazynier z UDT/ Ksawerów","Agencja Zatrudnienia Sidrom Sp. z o.o.","Entry level",
"Full-time","Sales Business Development","Staffing & Recruiting","Łódź, PL","Magazynier z UDT/ Ksawerów","Agencja Zatrudnienia Sidrom Sp. z o.o.","Entry level",
"Full-time","Finance Sales","Information Technology & Services Biotechnology Pharmaceuticals","Ksawerów, PL","Analityk ds. Kontroli Jakości [rekrutacja online]","Adamed Pharma","Associate",
"Full-time","Finance Sales","Information Technology & Services Biotechnology Pharmaceuticals","Ksawerów, PL","Analityk ds. Kontroli Jakości [rekrutacja online]","Adamed Pharma","Associate",
"Full-time","Management Manufacturing","Environmental Services Mechanical Or Industrial Engineering Oil & Energy","Łódź, PL","Inżynier Procesu","IDES Consultants Polska","Entry level",
"Full-time","Management Manufacturing","Environmental Services Mechanical Or Industrial Engineering Oil & Energy","Łódź, PL","Inżynier Procesu","IDES Consultants Polska","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","Front-end (Angular2+) Developer","TeamQuest Sp z o.o.","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","Front-end (Angular2+) Developer","TeamQuest Sp z o.o.","Entry level",
"Full-time","Engineering Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","Software Engineer - Navigation SDK","TomTom","Entry level",
"Full-time","Business Development","Banking Financial Services Investment Banking","Łódź, PL","Business Analyst, Lodz","Nordea","Entry level",
"Part-time","Finance","Electrical & Electronic Manufacturing","Łódź, PL","Intercompany Accounting Intern","Signify","Internship",
"Full-time","Business Development","Outsourcing/Offshoring","Lodz, Lodz District, Poland","Sourcing Lead in Solution Design Department","Infosys Poland","Mid-Senior level",
"Full-time","Engineering Information Technology","Marketing & Advertising Design Internet","Łódź, PL","Junior Front-end Developer (Lodz)","I LIKE ART","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Financial Services","Łódź, PL","Front-end Developer","Accenture","Associate",
"Full-time","Education Training","Marketing & Advertising Public Relations & Communications Management Consulting","Łódź, PL","Nauczyciel przedmiotów zawodowych","Centrum Nauki i Biznesu ŻAK","Entry level",
"Part-time","Finance","Electrical & Electronic Manufacturing","Łódź, PL","Intercompany Accounting Intern","Signify","Internship",
"Full-time","Management Manufacturing","Banking Financial Services Investment Banking","Łódź, PL","Junior Process Officer in Banking Operations Poland, Łódź","Nordea","Internship",
"Full-time","Education Training","Aviation & Aerospace Mechanical Or Industrial Engineering Staffing & Recruiting","Łódź, PL","Stażysta/Stażystka","GRAVET CONSULTING SP. Z O.O.","Internship",
"Full-time","Management Manufacturing","Health, Wellness & Fitness","Łódź, PL","Serwisant Rowerów","Media Expert","Entry level",
"Full-time","Marketing Sales","Internet","Łódź, PL","SPECJALISTA DS. MARKETINGU PRODUKTOWEGO","Atlas","Associate",
"Full-time","Other","Information Technology & Services Computer Software Financial Services","Łódź, PL","SAS Developer (Łódź)","look4IT","Entry level",
"Full-time","Management Manufacturing","Pharmaceuticals","Łódź, PL","Specjalista ds. transportu","Pelion S.A.","Entry level",
"Full-time","Human Resources","Chemicals Biotechnology Pharmaceuticals","Pabianice, PL","TRENER WEWNĘTRZNY","Aflofarm Farmacja Polska Sp. z o.o","Associate",
"Full-time","Human Resources","Chemicals Biotechnology Pharmaceuticals","Pabianice, PL","TRENER WEWNĘTRZNY","Aflofarm Farmacja Polska Sp. z o.o","Associate",
"Full-time","Human Resources","Food & Beverages Food Production Consumer Goods","Łódź, PL","Talent Acquisition Specialist","McCormick & Company","Entry level",
"Full-time","Human Resources","Food & Beverages Food Production Consumer Goods","Łódź, PL","Talent Acquisition Specialist","McCormick & Company","Entry level",
"Full-time","Research Analyst Information Technology","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Senior Forecasting Analyst","Whirlpool Corporation","Associate",
"Full-time","Research Analyst Information Technology","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Senior Forecasting Analyst","Whirlpool Corporation","Associate",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Znasz j DUNSKI– to zapraszamy do przesłania CV","PMSolutions","Associate",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Znasz j DUNSKI– to zapraszamy do przesłania CV","PMSolutions","Associate",
"Part-time","Research Analyst Information Technology","Marketing & Advertising E-learning Education Management","Łódź, PL","Research Assistant","*Research","Entry level",
"Part-time","Research Analyst Information Technology","Marketing & Advertising E-learning Education Management","Łódź, PL","Research Assistant","*Research","Entry level",
"Full-time","Marketing Sales","Marketing & Advertising","Łódź, PL","Junior SEO Specialist","ATOM Agency","Entry level",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Topola Królewska - Praca w markecie Dino Polska","Dino Polska S.A.","Entry level",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Topola Królewska - Praca w markecie Dino Polska","Dino Polska S.A.","Entry level",
"Internship","Education Training","Marketing & Advertising Computer Software Internet","Łódź, PL","HR Intern","InterSynergy","Internship",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","Front-end (Angular2+) Developer","TeamQuest Sp z o.o.","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","Front-end (Angular2+) Developer","TeamQuest Sp z o.o.","Entry level",
"Full-time","Information Technology","Education Management Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","PAKOWANIE LEKÓW","Flexidea","Entry level",
"Full-time","Other","Human Resources","Łódź, PL","Rekruter - Studencie! Rozpocznij przygodę z HR! J.ukraiński wymagany!","KS Service sp. z o.o.","Entry level",
"Full-time","Other","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Młodszy/a Specjalista/ka ds. IT","Accenture","Entry level",
"Full-time","Health Care Provider","Hospital & Health Care","Łódź, PL","Lekarz Chirurg dziecięcy","Medicover","Associate",
"Full-time","Marketing Public Relations Writing/Editing","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Social Media Junior Analyst - j.niemiecki","CEE Experts by L.M. International Group","Associate",
"Full-time","Engineering Information Technology","Staffing & Recruiting","Łódź, PL","Operator Maszyn - bezpłatny transport pracowniczy - Łódź","CRAFTS","Entry level",
"Full-time","Engineering Information Technology","Automotive Consumer Electronics Information Technology & Services","Łódź, PL","Expert Software Engineer for CloudOps","TomTom","Entry level",
