job_type,experience,role,industry,company_size,company_type,salary,remote,location,tags
Full-time,Mid-Level,"Backend Developer, DevOps, System Administrator","Cloud Computing, DevOps, Internet Infrastructure",11–50 people,Private,CHF 85k - 105k (Swiss Francs),None,"Zürich,Switzerland","['terraform', 'puppet', 'linux', 'go', 'rest', 'sysadmin']"
Contract,Senior,Designer,"Cybersecurity, Machine Learning, Security Software",51–200 people,VC Funded,None,None,"London,UK","['user-interface', 'user-experience', 'design']"
Full-time,"Mid-Level, Senior, Lead","Backend Developer, QA/Test Developer","Restaurant, Software Development / Engineering, Technical Services",501–1k people,Public,None,On-siteandlimitedremote,"Chicago,IL",[]
Full-time,Senior,DevOps,Financial Technology,51–200 people,Private,$150k - 200k (US Dollars),None,"PaloAlto,CA","['cloud', 'linux', 'automation', 'python', 'amazon-web-services']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Osaka,Japan","['java', 'amazon-web-services', 'android']"
Full-time,None,System Administrator,None,None,None,None,None,"ShibuyaCity,Japan","['amazon-web-services', 'java']"
Full-time,"Senior, Lead",Full Stack Developer,None,None,None,None,On-siteandlimitedremote,"Garfield,NJ",[]
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,Real Estate,201–500 people,VC Funded,None,None,"CerqueiraCésar,Brazil","['reactjs', 'javascript', 'css']"
Full-time,None,Database Administrator,None,None,None,None,None,"Itami,Japan","['java', 'oracle', 'sql']"
Full-time,None,Product Manager,None,None,None,None,None,"Chennai,India","['php', 'mysql', 'project-management']"
Full-time,"Mid-Level, Senior",DevOps,Banking,10k+ people,None,€42 - 60 (Euros),None,"Wien,Austria","['api-design', 'openshift', 'kubernetes', 'architecture']"
Full-time,Senior,Frontend Developer,Media,501–1k people,Private,None,None,"Zürich,Switzerland","['javascript', 'css', 'clojure', 'html', 'reactjs']"
Internship,Student,QA/Test Developer,Software Development,51–200 people,VC Funded,None,None,"Köln,Deutschland","['qa', 'testing', 'c++', 'c']"
Full-time,None,System Administrator,Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['java', 'maven', 'spring', 'tcp', 'bash']"
Full-time,Senior,Backend Developer,"Digital Media, Entertainment, Media",51–200 people,Private,$90k - 140k (US Dollars),None,"LosAngeles,CA","['amazon-web-services', 'database', 'postgresql', 'sql']"
Full-time,"Mid-Level, Senior, Lead",QA/Test Developer,"Finance, Financial Technology, Mobile Payments",1k–5k people,Private,None,None,"Pinheiros,Brazil","['authentication', 'qa']"
Full-time,None,Embedded Developer,None,None,None,None,None,"Ghaziabad,India","['c++', 'linux', 'embedded']"
Full-time,"Mid-Level, Senior, Lead",Frontend Developer,None,None,None,£50k - 90k (British Pounds),On-siteandlimitedremote,"London,UK",[]
Full-time,None,Data Scientist,None,None,None,None,None,"ShinagawaCity,Japan","['python', 'r', 'sql']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Indore,India","['wordpress', 'php', 'jquery']"
Full-time,Senior,Frontend Developer,"Accounting Software, Computer Software, Enterprise Software",201–500 people,Private,None,Remote,"Sterling,VA",[]
Full-time,Mid-Level,System Administrator,"Market research, Web Technology",501–1k people,Private,None,Remote,Noofficelocation,"['kubernetes', 'amazon-web-services', 'python', 'docker', 'splunk']"
Full-time,Senior,Backend Developer,"Computer-Aided Engineering, SaaS, Simulation Software",51–200 people,VC Funded,None,None,"München,Germany","['go', 'java', 'rest', 'jvm']"
Full-time,"Mid-Level, Senior",Product Manager,"Life Sciences, Manufacturing, Medical Devices",501–1k people,Private,None,None,"MorganHill,CA","['sql', 'project-management', 'excel-2010']"
Full-time,Mid-Level,Frontend Developer,"Electronics, Industrial Automation, Software Development / Engineering",10k+ people,Public,None,None,"İstanbul,Turkey","['http', 'reactjs', 'javascript']"
Full-time,None,Product Manager,"Cloud Services, Customer Experience Management, Enterprise Software",10k+ people,Public,None,None,"NewportBeach,CA","['scrum', 'agile']"
Full-time,Senior,DevOps,"Financial Technology, Payment Gateway",51–200 people,VC Funded,None,Remote,"London,UK",[]
Full-time,Senior,Backend Developer,"Agile Software Development, Software Development / Engineering",201–500 people,Private,CHF 93 - 128 (Swiss Francs),None,"Bern,Schweiz","['java', 'spring', 'java-ee', 'hibernate', 'angular']"
Full-time,"Mid-Level, Senior","Backend Developer, Full Stack Developer","Online Travel, Transportation, Travel & Tourism",1k–5k people,Private,None,None,"Nürnberg,Germany","['php', 'reactjs', 'javascript', 'symfony', 'amazon-web-services']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Kochi,India","['qa', 'testing', 'automated-tests']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['amazon-web-services', 'java', 'mobile']"
Full-time,Mid-Level,System Administrator,"Architecture, Government, Information Technology",51–200 people,Private,None,None,"Reston,VA","['linux', 'unix', 'shell', 'networking', 'security-testing', 'sysadmin']"
Full-time,Mid-Level,"Backend Developer, Database Administrator, Full Stack Developer","Banking, Finance, Financial Technology",1k–5k people,None,None,None,"FrankfurtamMain,Deutschland","['sql', 'java', 'oracle', 'hibernate', 'jakarta-ee']"
Full-time,"Junior, Mid-Level",Frontend Developer,Advertising Technology,11–50 people,Private,None,None,"Berlin,Deutschland","['php', 'angularjs', 'javascript']"
Full-time,"Mid-Level, Senior, Lead",DevOps,"Advertising Technology, Commercial Real Estate, eCommerce",1k–5k people,Private,None,None,Singapore,"['amazon-web-services', 'python', 'ruby', 'bash']"
Full-time,"Junior, Mid-Level",Full Stack Developer,"Consulting, Financial Technology, Product Development",11–50 people,Private,A$120k - 140k (Australian Dollars),None,"Sydney,Australia","['angularjs', 'node.js', 'amazon-web-services', 'spring', 'java']"
Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Consulting, Software Development / Engineering",51–200 people,Private,None,On-siteandlimitedremote,"London,UK",[]
Full-time,"Mid-Level, Senior",Backend Developer,"Agile Software Development, Computer Software, CPQ (Configure,  Price,  Quote)",51–200 people,Private,None,On-siteandlimitedremote,"Stuttgart,Deutschland",[]
Full-time,Senior,QA/Test Developer,"Fraud, Information Technology, OCR",51–200 people,Private,None,None,"SãoPaulo,Brazil","['java', 'sql', 'qa']"
Full-time,Mid-Level,Full Stack Developer,None,None,None,None,None,"Düsseldorf,Deutschland","['ruby-on-rails', 'angularjs', 'ruby']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ChiyodaCity,Japan","['python', 'ios', 'iphone']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['java', 'android']"
Internship,"Student, Junior","Backend Developer, Frontend Developer","Energy & Utilities, Software Development / Engineering",201–500 people,Private,None,None,"Aachen,Deutschland","['java', 'c#', '.net', 'backend', 'frontend']"
Full-time,Mid-Level,Backend Developer,None,None,None,None,None,"Hamburg,Deutschland","['symfony2', 'php']"
Full-time,Senior,Full Stack Developer,"Artificial Intelligence, Information Technology, Software Development",51–200 people,VC Funded,$10k - 36k (US Dollars),None,HongKong,"['reactjs', 'javascript', 'node.js', 'ecmascript-6', 'typescript']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Coimbatore,India","['php', 'java']"
Contract,Mid-Level,QA/Test Developer,"Big Data, Data Science",51–200 people,Private,None,Remote,Noofficelocation,"['qa', 'testing']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Hyderabad,India","['selenium', 'qa', 'testing']"
Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['azure', 'asp.net-web-api']"
Full-time,None,"Mobile Developer, QA/Test Developer",None,None,None,None,None,"Pune,India","['java', 'python', 'android']"
Full-time,"Mid-Level, Senior",System Administrator,None,None,None,None,None,"Winnipeg,MB,Canada","['python', 'javascript', 'mysql', 'elasticsearch', 'perl', 'sysadmin']"
Full-time,"Junior, Mid-Level, Senior","DevOps, System Administrator","Cloud Services, Internet Infrastructure, Software Development",11–50 people,Private,None,On-siteandlimitedremote,"Unterföhring,Deutschland",[]
Full-time,"Mid-Level, Senior",Frontend Developer,Personal Finance,51–200 people,Private,None,Remote,Noofficelocation,"['css', 'javascript', 'html5', 'angular']"
Full-time,"Senior, Lead",Frontend Developer,"Automotive, Financial Services, Financial Technology",5k–10k people,Private,€50k - 70k (Euros),None,"Amsterdam,Netherlands","['reactjs', 'redux', 'react-native', 'react-redux', 'typescript']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['reactjs', 'javascript', 'android']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Kolkata,India","['php', 'mysql', 'zend-framework']"
Full-time,None,"Frontend Developer, Mobile Developer",None,None,None,None,None,"Noida,India","['android', 'sdk', 'jquery']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Indore,India","['php', 'jquery']"
Full-time,None,Mobile Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"London,UK","['ios', 'objective-c', 'iphone']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['php', 'mysql', 'jquery']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Hyderabad,India","['reactjs', 'javascript', 'css']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Coimbatore,India","['php', 'mysql', 'javascript']"
Full-time,Senior,Backend Developer,"Financial Technology, Telecommunications",11–50 people,Private,None,None,"Helsingborg,Sweden","['java', 'git', 'jenkins', 'spring', 'kotlin']"
Full-time,None,Backend Developer,None,None,None,None,None,"Mumbai,India","['php', 'mysql', 'oop']"
Full-time,None,Product Manager,None,None,None,None,None,"Kolkata,India","['php', 'model-view-controller', 'project-management']"
Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"Hardware Development, Internet of Things, Software Development",11–50 people,Private,None,On-siteandlimitedremote,"Düsseldorf,Deutschland",[]
Full-time,None,Product Manager,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"Luleå,Sweden",['project-management']
Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Financial Technology, fintech",201–500 people,Private,None,None,"RiodeJaneiro,Brazil","['java', 'go', 'sql', 'amazon-web-services', 'nosql']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Noida,India","['ios', 'angularjs', 'soap']"
Full-time,"Senior, Lead",Frontend Developer,"Computer Software, Enterprise Software, Web Hosting",11–50 people,Private,$120k - 170k (US Dollars),Remote,Noofficelocation,"['reactjs', 'react-redux', 'redux', 'ecmascript-6', 'ecmascript-2017']"
Full-time,"Mid-Level, Senior",Frontend Developer,"IT Consulting, Software Consulting, Technology Consulting",51–200 people,Public,None,None,"Lausanne,Switzerland","['javascript', 'typescript']"
Full-time,None,"Frontend Developer, Mobile Developer",None,None,None,None,None,"ShinagawaCity,Japan","['coffeescript', 'objective-c', 'backbone.js']"
Full-time,Senior,Frontend Developer,"Artificial Intelligence, Enterprise Software",51–200 people,VC Funded,NZD 130k - 150k (New Zealand Dollar),None,"Auckland,NewZealand","['angularjs', 'reactjs', 'javascript']"
Full-time,Junior,Embedded Developer,"Data & Analytics, Weather",11–50 people,VC Funded,None,None,"Madison,WI","['c++', 'embedded', 'c', 'linux']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Kolkata,India","['android', 'java', 'json']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Kawasaki,Japan","['objective-c', 'azure', 'ios']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"AI Research, Broadcast, Digital Video Distribution",11–50 people,Private,$90k - 160k (US Dollars),None,"Barrington,IL","['django', 'python', 'php', 'sql', 'linux']"
Full-time,None,Database Administrator,None,None,None,None,None,"Akashi,Japan","['java', 'oracle', 'java-ee']"
Full-time,None,Frontend Developer,None,None,None,None,None,"ShibuyaCity,Japan","['ruby-on-rails', 'ruby', 'coffeescript']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['javascript', 'reactjs', 'user-interface']"
Full-time,None,Designer,None,None,None,None,None,"Bengaluru,India","['user-experience', 'user-interface', 'php']"
Full-time,None,DevOps,None,None,None,None,None,"Bengaluru,India","['perl', 'python', 'java']"
Internship,None,System Administrator,"Email Marketing, Online Media",5k–10k people,Private,None,None,"Karlsruhe,Deutschland","['linux', 'bigdata']"
Full-time,Mid-Level,QA/Test Developer,None,None,None,None,None,"Berlin,Deutschland","['testing', 'cd', 'cloud', 'micro']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['android', 'design', 'user-interface']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['xamarin', 'oop', 'mobile']"
Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Advertising, Big Data, Web Development",11–50 people,Private,€60k - 85k (Euros),On-siteandlimitedremote,"München,Deutschland",[]
Full-time,None,Backend Developer,None,None,None,None,None,"Morristown,NJ","['c#', '.net', 'javascript']"
Full-time,None,Mobile Developer,"Agile Software Development, Content Marketing, Web Technology",1k–5k people,Public,None,None,"Newark,NJ","['amazon-web-services', 'ios', 'android']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Coimbatore,India","['php', 'android', 'ios']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Osaka,Japan","['objective-c', 'php', 'java']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Kolkata,India","['ios', 'iphone', 'mysql']"
Full-time,Mid-Level,Product Manager,"Agile Software Development, eCommerce, Mobile Development",1k–5k people,None,None,None,"Berlin,Deutschland","['scrum', 'agile', 'nexus', 'less']"
Full-time,"Mid-Level, Senior","Designer, DevOps","Banking, Financial Services, Financial Technology",10k+ people,Public,None,On-siteandlimitedremote,"Providence,RI",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['reactjs', 'ios', 'javascript']"
Full-time,Senior,Mobile Developer,"Design, Internet of Things, Mobile Development",11–50 people,Private,$100k - 140k (US Dollars),On-siteandlimitedremote,"Denver,CO",[]
Full-time,Mid-Level,Frontend Developer,"Computer Software, Data & Analytics, Financial Technology",10k+ people,Public,None,None,"Madrid,Spain","['php', 'reactjs', 'javascript', 'vue.js']"
Full-time,None,"DevOps, System Administrator",None,None,None,None,None,"MinatoCity,Japan","['apache', 'sql-server', 'devops']"
Full-time,Junior,System Administrator,"Agile Software Development, eCommerce, Mobile Development",1k–5k people,Public,None,None,"Köln,Deutschland","['windows', 'ms-office', 'ticket-system', 'updates']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['reactjs', 'android', 'ios']"
Full-time,"Senior, Lead",Desktop Developer,None,None,None,$75k - 77k (US Dollars),None,"Bloomington,IN","['operating-system', 'cad', 'c', 'c++', 'python']"
Full-time,"Junior, Mid-Level, Senior",Mobile Developer,"Automotive, Mobile Application, Mobile Development",51–200 people,Private,€50k - 75k (Euros),None,"München,Deutschland","['ios', 'swift', 'xcode']"
Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"eLearning, K-12, Online Education",11–50 people,VC Funded,$125k - 200k (US Dollars),None,"SanFrancisco,CA","['reactjs', 'javascript', 'graphql', 'node.js', 'postgresql']"
Full-time,None,Designer,None,None,None,None,None,"Uttarpara,India","['php', 'twitter-bootstrap', 'java']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Bengaluru,India","['php', 'angularjs', 'mysql']"
Full-time,Mid-Level,Frontend Developer,Marketplace,201–500 people,Public,None,None,"Melbourne,Australia","['reactjs', 'javascript', 'css']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['reactjs', 'android', 'ios']"
Full-time,None,"Data Scientist, System Administrator",None,None,None,None,None,"Bengaluru,India","['amazon-web-services', 'apache', 'cloud']"
Full-time,"Mid-Level, Senior",Frontend Developer,"Automotive, Computer Software, eCommerce",11–50 people,VC Funded,$150k - 190k (US Dollars),On-siteandlimitedremote,"SanFrancisco,CA",[]
Full-time,Mid-Level,Data Scientist,"Bioinformatics, Biotechnology, Computer Software",501–1k people,Public,None,None,"Hinxton,VereinigtesKönigreich","['project-management', 'continuous-integration', 'r', 'mysql']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ChiyodaCity,Japan","['swift', 'ios', 'objective-c']"
Full-time,"Mid-Level, Senior","DevOps, System Administrator",E-Commerce,501–1k people,Public,None,On-siteandlimitedremote,"Berlin,Deutschland",[]
Full-time,None,Product Manager,None,None,None,None,None,"Hyderabad,India","['python', 'project-management']"
Full-time,"Mid-Level, Senior, Lead","Frontend Developer, Full Stack Developer","B2B, SaaS, Web Hosting",11–50 people,Private,€45k - 70k (Euros),None,"Münster,Deutschland","['php', 'laravel', 'symfony', 'javascript', 'sass']"
Full-time,Senior,Product Manager,Real Estate,51–200 people,Public,None,None,"Zürich,Switzerland",['project-management']
Full-time,"Mid-Level, Senior",Mobile Developer,Health & Fitness,501–1k people,Private,None,None,"Berlin,Germany","['mobile', 'react-native', 'typescript']"
Full-time,None,Frontend Developer,"Enterprise Web Solutions, Software Development / Engineering, Web Development",1–10 people,Public,None,None,"Coesfeld,Deutschland","['php', 'css', 'sass', 'less', 'javascript']"
Full-time,Mid-Level,Frontend Developer,"HR Services, IT Recruitment, SaaS",51–200 people,Private,€45k - 65k (Euros),Remote,Noofficelocation,"['reactjs', 'ecmascript-6', 'node.js', 'docker', 'electron']"
Full-time,None,"Database Administrator, QA/Test Developer",None,None,None,None,None,"Pune,India","['oracle', 'sql', 'testing']"
Full-time,Senior,Full Stack Developer,Financial Services,10k+ people,Public,None,None,"Bengaluru,India","['java', 'spring', 'hibernate', 'java-ee', 'python']"
Full-time,"Mid-Level, Senior, Lead",Backend Developer,"B2C, E-Commerce",51–200 people,None,None,On-siteandlimitedremote,"FrankfurtamMain,Germany",[]
Full-time,"Mid-Level, Senior",Full Stack Developer,"Information Technology, subscription economy, Web Technology",11–50 people,Private,€40k - 70k (Euros),None,"Berlin,Germany","['typescript', 'node.js', 'angular8']"
Full-time,Mid-Level,"Database Administrator, Data Scientist","eCommerce, Healthcare, Software Development / Engineering",1k–5k people,Private,$90k - 115k (US Dollars),On-siteandlimitedremote,"Milwaukee,WI",[]
Full-time,Mid-Level,Frontend Developer,"Business Process Optmization, Cloud-Based Solutions, SaaS",51–200 people,Private,None,None,"McKinney,TX","['javascript', 'css', 'html5', 'rest', 'jquery']"
Full-time,None,Backend Developer,"Agile Software Development, AI Research, Databases",1–10 people,Private,None,None,"Berlin,Deutschland","['amazon-web-services', 'node.js', 'typescript', 'graphql', 'reactjs']"
Full-time,"Mid-Level, Senior",Backend Developer,None,None,None,$140k - 180k (US Dollars),None,"NewYork,NY","['salesforce-lightning', 'salesforce', 'exacttarget', 'rest', 'agile']"
Full-time,"Junior, Mid-Level, Lead",Backend Developer,"Cloud-Based Solutions, Digital Health, Financial Technology",51–200 people,Private,None,On-siteandlimitedremote,"HlavníměstoPraha,Czechia",[]
Full-time,"Mid-Level, Senior","Backend Developer, Mobile Developer",Mobile Application,11–50 people,VC Funded,€45k - 75k (Euros),None,"Mannheim,Germany","['amazon-web-services', 'docker', 'node.js', 'typescript', 'javascript']"
Full-time,"Junior, Mid-Level",Full Stack Developer,"eCommerce, Software Development, Marketplace",201–500 people,VC Funded,None,None,"Paris,France","['java', 'spring', 'reactjs', 'apache-kafka']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['angularjs', 'user-interface', 'jquery']"
Full-time,"Junior, Mid-Level, Senior","DevOps, System Administrator","Agile Software Development, E-Commerce, SaaS",11–50 people,Private,€35k - 70k (Euros),None,"Krefeld,Germany","['linux', 'ansible', 'centos', 'sysadmin']"
Full-time,"Mid-Level, Senior",Backend Developer,"Artificial Intelligence, Conversational A.I., Travel Planning",51–200 people,VC Funded,None,None,"Munich,Germany","['python', 'node.js', 'microservices', 'graphql', 'rest']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"Coupons & Discounts, E-Commerce",51–200 people,Private,None,None,"LasVegas,NV","['php', 'css', 'mysql', 'html', 'git']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['android', 'ios', 'mongodb']"
Full-time,None,DevOps,"Computer Software, Data & Analytics",1k–5k people,Private,None,None,"NewYork,NY","['go', 'kubernetes', 'linux', 'cassandra', 'prometheus']"
Full-time,Mid-Level,Embedded Developer,None,None,None,None,None,"Beavercreek,OH","['c++', 'c', 'embedded']"
Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Agile Software Development, Software Consulting, Web Development",51–200 people,Private,$70k - 105k (US Dollars),None,"Urbandale,IA","['c#', 'javascript', 'java', 'reactjs', 'angular']"
Full-time,None,Data Scientist,"Agile Software Development, Logistics and Supply Chain",11–50 people,Private,None,None,"Chicago,IL","['sql', 'python', 'snowflake', 'azure', 'tableau']"
Full-time,"Mid-Level, Senior","Designer, Frontend Developer","Education, Education Technology, Healthcare",51–200 people,Private,$85k - 120k (US Dollars),On-siteandlimitedremote,"Washington,DC",[]
Full-time,None,DevOps,None,None,None,None,None,"Bengaluru,India","['amazon-web-services', 'linux']"
Full-time,Mid-Level,Backend Developer,"Finance, Government, Industrial Automation",1k–5k people,Private,€36k - 54k (Euros),On-siteandlimitedremote,"Nieuwegein,Netherlands",[]
Full-time,"Mid-Level, Senior",Mobile Developer,"Agile Software Development, Mobile Development, Web Technology",201–500 people,Private,£40k - 55k (British Pounds),On-siteandlimitedremote,"Leicester,UK",[]
Full-time,Junior,System Administrator,"Financial Services, Financial Technology, Fintech",201–500 people,Public,None,None,"London,UK","['sysadmin', 'office365', 'powershell', 'infrastructure', 'cloud']"
Full-time,None,Data Scientist,None,None,None,None,None,"Hyderabad,India",['python']
Full-time,"Senior, Lead",Full Stack Developer,"E-Commerce, Sports Technology",201–500 people,Private,None,None,"Berlin,Germany","['java', 'javascript', 'python', 'apex', 'salesforce', 'sysadmin']"
Full-time,"Mid-Level, Senior","Full Stack Developer, Graphics/Game Developer","Entertainment, Mobile Game",201–500 people,Public,None,None,"Helsinki,Finland",['java']
Full-time,Senior,QA/Test Developer,"Cloud-Based Solutions, Internet of Things, SaaS",201–500 people,Private,None,None,"Holmdel,NJ","['qa', 'automation', 'testing', 'selenium-webdriver', 'c#']"
Full-time,Junior,Mobile Developer,"3D Models, Augmented Reality, Virtual Reality",51–200 people,Private,None,None,"Miamisburg,OH","['ios', 'swift', 'objective-c', 'kotlin', 'java']"
Full-time,None,Data Scientist,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"LosAngeles,CA","['machine-learning', 'algorithm', 'c++']"
Full-time,None,Frontend Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"London,UK","['reactjs', 'javascript', 'css']"
Full-time,Senior,DevOps,"Cybersecurity, DevOps, Internet Infrastructure",None,None,None,Remote,Noofficelocation,"['amazon-web-services', 'ruby', 'tdd']"
Full-time,"Junior, Mid-Level, Senior",Database Administrator,"Casino, Gambling, Gaming",1k–5k people,Private,€48k - 70k (Euros),On-siteandlimitedremote,"Wien,Österreich",[]
Full-time,"Mid-Level, Senior",Full Stack Developer,"Open platform, Reviews, SaaS",501–1k people,Private,None,None,"Copenhagen,Denmark","['javascript', 'reactjs', '.net', 'node.js']"
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Bioinformatics, Data & Analytics, Life Sciences",5k–10k people,Public,None,None,"Ettlingen,Deutschland","['javascript', 'node.js', 'reactjs', 'tdd', 'web-services']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Mumbai,India","['android', 'java', 'mobile']"
Full-time,"Student, Junior, Mid-Level",Mobile Developer,None,None,None,None,None,"Riyadh,SaudiArabia","['android', 'ios', 'swift', 'kotlin', 'java']"
Full-time,None,Product Manager,Telecommunications,10k+ people,Public,None,None,"Bothell,WA","['agile', 'web-services', 'project-management']"
Full-time,None,Data Scientist,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"MenloPark,CA","['r', 'machine-learning', 'hadoop']"
Full-time,"Mid-Level, Senior","Mobile Developer, System Administrator","Cloud Services, Embedded, Internet of Things",11–50 people,Private,None,On-siteandlimitedremote,"Amsterdam,Netherlands",[]
Internship,Student,Embedded Developer,"Cybersecurity, Defence & Security, Software Development / Engineering",201–500 people,Private,£17k - 17k (British Pounds),None,"Tewkesbury,UK","['c++', 'oop', 'electronics', 'fpga', 'hardware']"
Full-time,Mid-Level,Frontend Developer,"Information Technology, IT Security, Network Security",1k–5k people,Public,None,None,"Austin,TX","['javascript', 'user-interface', 'angularjs', 'extjs', 'groovy']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Lucknow,India","['java', 'android', 'php']"
Full-time,"Mid-Level, Senior",Full Stack Developer,Consulting,10k+ people,None,None,None,"London,UK","['node.js', 'python', 'reactjs', 'angularjs', 'c++']"
Full-time,"Mid-Level, Senior",Mobile Developer,"Artificial Intelligence, Behavioral Analytics, HR Services",11–50 people,VC Funded,€55 - 75 (Euros),None,"Berlin,Germany","['python', 'typescript', 'docker', 'firebase', 'swift']"
Full-time,None,Data Scientist,None,None,None,None,None,"ChiyodaCity,Japan","['amazon-web-services', 'mysql', 'r']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Coimbatore,India","['php', 'mysql', 'jquery']"
Full-time,Mid-Level,Backend Developer,"Digital Agency, eCommerce, E-Commerce",51–200 people,Private,€35k - 50k (Euros),On-siteandlimitedremote,"Velen,Deutschland",[]
Full-time,"Junior, Mid-Level, Senior","Backend Developer, DevOps","AI Research, Construction, SaaS",51–200 people,VC Funded,€40k - 55k (Euros),None,"Aachen,Germany","['java-ee', 'kotlin', 'kubernetes', 'node.js', 'spring']"
Contract,Senior,System Administrator,"Dating, Mobile Application, Social Networking",1–10 people,Private,None,On-siteandlimitedremote,"WestHartford,CT",[]
Full-time,None,QA/Test Developer,"Health Care, Information Technology",10k+ people,Private,None,None,"Chicago,IL","['security', 'testing', 'http']"
Full-time,Mid-Level,"Backend Developer, Full Stack Developer","Defense, Government Contracting, Training & Simulation",51–200 people,Private,None,None,"Orlando,FL","['java', 'simulation', 'hla', 'c++', 'c#']"
Full-time,"Mid-Level, Senior, Lead",QA/Test Developer,"Business Process Outsourcing, Computer Software, Software Development",201–500 people,Private,Php360k - 600k (Philippine Peso),None,"CebuCity,Philippines","['testing', 'automated-tests', 'qa']"
Full-time,Mid-Level,Designer,Media,501–1k people,Private,None,None,"Zürich,Switzerland","['reactjs', 'node.js', 'html', 'css', 'user-experience']"
Full-time,Junior,System Administrator,"Banking, Finance, Financial Technology",1k–5k people,None,None,None,"FrankfurtamMain,Deutschland","['java', 'c++', 'c', 'database', 'sysadmin']"
Full-time,None,Backend Developer,None,None,None,None,None,"Kochi,India","['php', 'api', 'design']"
Full-time,Senior,"Database Administrator, System Administrator","Entertainment, Software Development / Engineering",5k–10k people,Public,$120k - 150k (US Dollars),None,"SanDiego,CA","['sql', 'python', 'etl', 'sysadmin']"
Full-time,None,"Designer, Frontend Developer","Medical Devices, Medical Software, Robotics",10k+ people,None,None,None,"Berlin,Germany","['user-interface', 'user-experience', 'design']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"Mobile, Mobile Development, Web Technology",1k–5k people,Private,None,None,"Washington,DC","['java', 'amazon-web-services', 'angularjs', 'reactjs', 'spring-boot']"
Full-time,"Senior, Lead","DevOps, System Administrator","Government, Information Technology, Public Services",51–200 people,Public,$143k - 171k (US Dollars),None,"Washington,DC","['kubernetes', 'amazon-cloudformation', 'docker', 'terraform', 'google-cloud-platform', 'sysadmin']"
Full-time,"Mid-Level, Senior","DevOps, System Administrator","Enterprise Software, Events, SaaS",51–200 people,Private,None,None,"Lausanne,Switzerland","['kubernetes', 'docker', 'ansible', 'cloud']"
Full-time,None,Backend Developer,None,None,None,None,None,"Mumbai,India","['java', 'java-ee', 'rest']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Pune,India","['java', 'c++', 'python']"
